features,mean,stdev
"('DCR',)",0.3830666666666667,0.03890067123099834
"('FEL',)",0.34620000000000006,0.04242122110453682
"('FRE',)",0.34859999999999997,0.035907845010990744
"('LW',)",0.38139999999999996,0.0396489596332615
"('MER',)",0.34833333333333333,0.03854722932830437
"('RL',)",0.37460000000000004,0.03599314749597021
"('DCR', 'FEL')",0.38213333333333327,0.04263936626587637
"('DCR', 'FRE')",0.3848666666666667,0.04080419368425533
"('DCR', 'LW')",0.4172,0.04250678377231882
"('DCR', 'MER')",0.38406666666666667,0.03929540544248002
"('DCR', 'RL')",0.393,0.03911947511576981
"('FEL', 'FRE')",0.3585333333333333,0.042479589870378406
"('FEL', 'LW')",0.4086,0.04089058571358449
"('FEL', 'MER')",0.36473333333333335,0.042703577784016594
"('FEL', 'RL')",0.40693333333333337,0.040725858561306665
"('FRE', 'LW')",0.41946666666666665,0.041789738240652116
"('FRE', 'MER')",0.36766666666666664,0.042730421117617004
"('FRE', 'RL')",0.4024666666666667,0.04013205978045759
"('LW', 'MER')",0.3972,0.04419834084367119
"('LW', 'RL')",0.4260666666666667,0.04785947021111797
"('MER', 'RL')",0.3848,0.041644847620484024
"('DCR', 'FEL', 'FRE')",0.3752666666666667,0.0424844546733142
"('DCR', 'FEL', 'LW')",0.4199333333333333,0.050668815743896055
"('DCR', 'FEL', 'MER')",0.38,0.04586937976471886
"('DCR', 'FEL', 'RL')",0.4109333333333333,0.04198962834902077
"('DCR', 'FRE', 'LW')",0.42373333333333335,0.046626840148376154
"('DCR', 'FRE', 'MER')",0.37646666666666667,0.0421289554687615
"('DCR', 'FRE', 'RL')",0.3994,0.04363836232796399
"('DCR', 'LW', 'MER')",0.41506666666666664,0.04627089317870961
"('DCR', 'LW', 'RL')",0.43706666666666666,0.04668399678214747
"('DCR', 'MER', 'RL')",0.3937333333333333,0.04140123454949408
"('FEL', 'FRE', 'LW')",0.42286666666666667,0.04155857980676861
"('FEL', 'FRE', 'MER')",0.3794666666666667,0.04791362599047953
"('FEL', 'FRE', 'RL')",0.4013333333333334,0.03982740541665025
"('FEL', 'LW', 'MER')",0.42146666666666677,0.04035487028297272
"('FEL', 'LW', 'RL')",0.45166666666666666,0.04679624866256791
"('FEL', 'MER', 'RL')",0.39640000000000003,0.042178667593939
"('FRE', 'LW', 'MER')",0.42600000000000005,0.044810713004816156
"('FRE', 'LW', 'RL')",0.45813333333333334,0.042022004817582045
"('FRE', 'MER', 'RL')",0.4008000000000001,0.038114214321343855
"('LW', 'MER', 'RL')",0.43666666666666665,0.04699881795203885
"('DCR', 'FEL', 'FRE', 'LW')",0.42413333333333336,0.046118494723435585
"('DCR', 'FEL', 'FRE', 'MER')",0.38499999999999995,0.04320108023340775
"('DCR', 'FEL', 'FRE', 'RL')",0.40459999999999996,0.04246771322624597
"('DCR', 'FEL', 'LW', 'MER')",0.4278,0.047115036524093525
"('DCR', 'FEL', 'LW', 'RL')",0.44606666666666667,0.047580061183464466
"('DCR', 'FEL', 'MER', 'RL')",0.407,0.04330896750866576
"('DCR', 'FRE', 'LW', 'MER')",0.42113333333333336,0.046925993744287284
"('DCR', 'FRE', 'LW', 'RL')",0.45319999999999994,0.04514155513493083
"('DCR', 'FRE', 'MER', 'RL')",0.3972,0.04299023144855119
"('DCR', 'LW', 'MER', 'RL')",0.43053333333333343,0.04536939741965086
"('FEL', 'FRE', 'LW', 'MER')",0.41873333333333335,0.04491913722333599
"('FEL', 'FRE', 'LW', 'RL')",0.46153333333333335,0.043768126403684326
"('FEL', 'FRE', 'MER', 'RL')",0.4036666666666667,0.04167199965871035
"('FEL', 'LW', 'MER', 'RL')",0.46406666666666657,0.042001534363507356
"('FRE', 'LW', 'MER', 'RL')",0.4632666666666667,0.04055443529655199
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.4226666666666667,0.049134735393835414
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.45840000000000003,0.04636205344891446
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.4055333333333333,0.04293462730969284
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.45346666666666663,0.04566525545264754
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.45359999999999995,0.045800727796255235
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.46399999999999997,0.04132795663954365
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.4491333333333334,0.046732382301307475
