ID,DCR,FRE,LW,MER,FEL,RL
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,10.2023,35.8661,48.9362,26.1,15.8667,7.0818
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,9.671,31.3742,55.6826,47.6667,22.1667,8.942
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,9.2395,48.5956,49.9387,18.8,9.6667,3.7229
voa-00860f99-097f-4349-9691-fb435e27d3c31,10.6288,32.5333,54.2553,22.2,13.6667,5.1209
voa-00da8787-0446-440f-8e43-a5b45215773f1,8.5267,52.5105,56.3218,31.0,12.25,7.7582
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,9.815,49.4291,55.9292,26.4333,11.8611,8.3271
voa-0157644f-3933-4e00-b40a-0096acdab6842,8.2935,51.8915,52.6479,23.5333,10.5,6.1656
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,9.0362,52.9346,54.5606,26.6667,11.3889,8.3083
voa-01825248-a485-493f-bad5-fda948113aa93,9.7033,50.131,56.4551,23.5667,11.4,5.4697
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,8.2707,69.7927,61.0,28.0,7.5,5.8138
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,8.3811,58.4049,54.8485,19.1,8.131,5.1032
voa-01dc0158-15fe-40de-916a-09a1237678eb3,7.084,66.8661,61.4209,20.5,6.7963,6.5298
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,10.6689,25.8267,47.561,18.3,13.3333,5.9748
voa-0253c0d2-1d1a-482f-b886-1612d38172181,8.436,62.0914,57.0,31.7,9.8333,10.6699
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,7.43,72.6935,62.6116,23.0333,6.3,5.7819
voa-02889067-82e2-416a-bca2-343099f381a81,8.0064,63.4436,65.6566,20.0,7.4286,3.5725
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,9.3467,47.3954,54.6605,33.2667,13.9111,10.5047
voa-02fb06ba-d57f-4ab4-ace2-37b4bced855f3,9.7734,39.9761,48.9298,24.8667,13.7429,7.4913
voa-0348227f-0217-48ce-ac9e-277f103a731a2,8.8075,47.1733,57.6767,30.9333,13.5556,7.1712
voa-034fa7dc-a4c6-4ad9-b619-fc95481b92b11,9.4473,42.6408,47.0,28.8,14.2,7.8372
voa-03abe405-0ac2-47db-83b1-d59e4971313f1,9.5968,47.6438,54.1667,34.5,14.25,19.496
voa-045457d5-d7d8-4331-a714-64d8c345745d3,10.5667,35.881,49.8441,30.8333,17.4167,7.3319
voa-04764b3c-da15-44da-afca-ab3295502bcf1,8.4707,50.3149,57.0,34.2,13.6,11.6548
voa-0494bc20-d6bc-4a3c-80b6-7a1a673f96bf3,10.8351,22.5539,54.6627,38.6333,24.6222,8.3177
voa-0545a338-9629-4d19-8fab-3b29d784539f3,8.0549,62.4427,61.6207,22.3333,8.5159,4.4568
voa-06526d3c-e9e0-4b4d-b3de-113d05c64b202,9.4172,46.762,54.711,23.0667,11.625,5.7647
voa-065a2bcf-33f3-4bc4-889e-e5adf9d4e7eb3,8.4542,64.3187,60.5921,20.6667,7.8595,5.2349
voa-06756f69-21cf-4579-b171-fb7776bbbf993,8.7485,49.5356,56.832,26.3,12.4444,6.0116
voa-06838ce8-ca68-4363-af62-db0e3a9c69983,10.0018,50.4091,60.4942,36.9333,12.0278,10.9798
voa-06b5ff95-3ddd-4cdc-bd6e-0b12f60999ec2,10.7014,34.4067,40.6148,25.2,15.0905,6.704
voa-072edbdb-92fb-45b6-8d96-c88df61275893,8.745,60.1264,61.2899,22.9,8.8794,4.2828
voa-07c12bb4-ab7b-40c4-be91-6ae0997228c11,7.5529,66.1442,66.0,30.4,8.6,6.7255
voa-07ee7827-2277-4e4e-b1de-8c68fcccb9932,10.0559,42.0079,47.0373,21.1333,11.7286,5.9829
voa-0814e0f8-c383-436b-8f44-d2178873a2933,9.6928,46.2711,56.0284,27.1333,13.45,8.0946
voa-081eb797-05fd-49ae-9baa-38d28ec938a03,7.6964,71.9792,64.1883,26.0667,6.7889,4.7489
voa-08207996-7ed4-4d13-8ea1-39e81a2df3673,9.9541,50.2908,63.1611,31.1667,13.7333,7.4233
voa-084ec6ec-6b81-45eb-8bfd-1838f9ba58143,8.8851,53.9137,59.0185,30.6,12.2778,6.5425
voa-08fcae98-6e95-492f-bda5-fda2f256c7f33,9.4491,31.4803,47.5258,31.0333,18.1667,7.3869
voa-08fdabab-157a-4e41-8fb6-4c86919051621,10.9468,23.4539,43.0108,42.7,24.6667,10.563
voa-09a89fd7-4ddc-422d-b875-951b088cf3522,8.9841,57.8049,57.2875,27.4667,10.1944,5.4486
voa-0a0a661b-cbc7-4e30-9493-d1723148128c2,10.005,52.9823,55.0,31.5,12.2833,6.9668
voa-0a5c9d27-e7ad-4f28-82b6-be4a5a49a66e1,8.7433,62.5284,51.5789,23.2,8.1667,6.0182
