features,mean,stdev
"('DCR',)",0.5471913161465402,0.06129414530381624
"('FRE',)",0.5377627016432986,0.05529311818433262
"('LW',)",0.506318407960199,0.05495803924117135
"('MER',)",0.4805939996984773,0.055794702604667554
"('DCR', 'FRE')",0.5377476255088196,0.05983331184204714
"('DCR', 'LW')",0.5671023669531132,0.061608074659339346
"('DCR', 'MER')",0.5349268807477763,0.05425159426913326
"('FRE', 'LW')",0.5514834916327455,0.05989128623540602
"('FRE', 'MER')",0.5176420925674657,0.050213889800257844
"('LW', 'MER')",0.4900542740841248,0.058638605986065344
"('DCR', 'FRE', 'LW')",0.5681275440976934,0.06019758020125745
"('DCR', 'FRE', 'MER')",0.5303181064375095,0.05539649043307652
"('DCR', 'LW', 'MER')",0.5704613297150611,0.05647552536773642
"('FRE', 'LW', 'MER')",0.5663937886325946,0.05888079868497232
"('DCR', 'FRE', 'LW', 'MER')",0.57318407960199,0.05632261845384068
