id,sent_count,syll_count,word_count,miniw_count,monosyll_count,not_in_dale_count,ave_sent_len,ave_word_len
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,35,1016,615,199,320.0,196.0,17.571428571428573,1.6520325203252033
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,26,972,626,221,360.0,154.0,24.076923076923077,1.5527156549520766
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,60,1524,921,341,434.0,277.0,15.35,1.6547231270358307
voa-00860f99-097f-4349-9691-fb435e27d3c31,6,176,94,39,48.0,37.0,15.666666666666666,1.872340425531915
voa-00da8787-0446-440f-8e43-a5b45215773f1,4,136,87,37,46.0,21.0,21.75,1.5632183908045978
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,22,723,466,194,252.0,138.0,21.181818181818183,1.5515021459227467
voa-0157644f-3933-4e00-b40a-0096acdab6842,23,604,373,155,183.0,97.0,16.217391304347824,1.6193029490616622
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,19,540,335,137,168.0,101.0,17.63157894736842,1.6119402985074627
voa-01825248-a485-493f-bad5-fda948113aa93,31,868,542,185,298.0,173.0,17.483870967741936,1.6014760147601477
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,6,161,116,52,71.0,27.0,19.333333333333332,1.3879310344827587
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,36,876,546,205,274.0,153.0,15.166666666666666,1.6043956043956045
voa-01dc0158-15fe-40de-916a-09a1237678eb3,45,951,653,278,371.0,119.0,14.511111111111111,1.4563552833078102
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,6,162,82,28,36.0,33.0,13.666666666666666,1.975609756097561
voa-0253c0d2-1d1a-482f-b886-1612d38172181,6,191,132,58,82.0,31.0,22.0,1.446969696969697
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,20,421,307,124,186.0,58.0,15.35,1.3713355048859934
voa-02889067-82e2-416a-bca2-343099f381a81,7,151,99,41,62.0,23.0,14.142857142857142,1.5252525252525253
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,38,1095,673,262,345.0,192.0,17.710526315789473,1.6270430906389302
