features,mean,stdev
"('DCR',)",0.3936,0.040004666394476196
"('FRE',)",0.38100000000000006,0.044553338819890924
"('LW',)",0.35633333333333334,0.03842597501112438
"('MER',)",0.4043333333333334,0.043472852320602204
"('DCR', 'FRE')",0.4244,0.051439025392529876
"('DCR', 'LW')",0.4106666666666667,0.04674279504788828
"('DCR', 'MER')",0.4112,0.046503333213867584
"('FRE', 'LW')",0.4321333333333333,0.045513172696362195
"('FRE', 'MER')",0.4138,0.04642800878779963
"('LW', 'MER')",0.4092,0.04050547288124573
"('DCR', 'FRE', 'LW')",0.46040000000000003,0.04990497637176745
"('DCR', 'FRE', 'MER')",0.4546,0.045601608158777326
"('DCR', 'LW', 'MER')",0.4322,0.04513490888436577
"('FRE', 'LW', 'MER')",0.4334,0.0459975361659006
"('DCR', 'FRE', 'LW', 'MER')",0.4571333333333333,0.0489535380630337
