ID,DCR,FRE,LW,MER,FEL,RL
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,10.3126,34.2719,56.1448,41.8333,20.2222,14.449
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,9.4174,52.1445,66.8148,35.4,13.4444,10.4279
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,9.7067,48.6943,49.113,18.8667,10.2583,3.945
voa-00860f99-097f-4349-9691-fb435e27d3c31,9.9897,42.7143,60.0,24.0,10.5714,5.1934
voa-00da8787-0446-440f-8e43-a5b45215773f1,8.4909,54.4733,53.4091,19.8,7.8571,6.6662
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,9.9912,54.9996,59.8889,26.4333,10.8889,7.613
voa-0157644f-3933-4e00-b40a-0096acdab6842,8.5781,54.4264,56.5889,28.0333,11.7333,6.2135
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,8.6358,55.0119,60.845,31.5333,10.0889,8.0737
voa-01825248-a485-493f-bad5-fda948113aa93,10.2489,49.5925,58.4715,27.3667,12.7667,7.5972
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,8.1342,63.9536,60.0,34.4,9.6,7.2553
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,8.9794,58.9634,58.5743,26.7667,9.9889,7.931
voa-01dc0158-15fe-40de-916a-09a1237678eb3,7.444,67.0669,65.1667,25.7667,7.8,6.7144
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,10.9052,35.7393,52.7473,14.4,9.1111,4.4328
voa-0253c0d2-1d1a-482f-b886-1612d38172181,7.372,72.3412,58.0,22.8,5.0909,4.7707
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,8.0981,66.9284,66.7715,36.8667,9.0667,5.922
voa-02889067-82e2-416a-bca2-343099f381a81,7.8568,61.3454,65.9794,22.5,7.2857,3.6718
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,9.6248,56.1316,59.4815,27.7667,10.3833,9.1862
voa-02fb06ba-d57f-4ab4-ace2-37b4bced855f3,9.1674,50.7936,54.7695,24.4333,11.1222,6.8639
voa-0348227f-0217-48ce-ac9e-277f103a731a2,9.0389,53.98,65.1293,41.2,13.3889,8.1609
voa-034fa7dc-a4c6-4ad9-b619-fc95481b92b11,10.4742,38.2937,50.0,36.0,17.5,11.893
voa-03abe405-0ac2-47db-83b1-d59e4971313f1,9.6949,40.2239,52.6316,44.3,9.3333,11.8495
voa-045457d5-d7d8-4331-a714-64d8c345745d3,10.2548,42.6395,55.6667,32.0333,16.0,7.9488
voa-04764b3c-da15-44da-afca-ab3295502bcf1,8.4976,62.1065,59.0,23.5,8.5,7.0285
voa-0494bc20-d6bc-4a3c-80b6-7a1a673f96bf3,10.245,27.708,56.0635,41.4333,22.3667,6.5132
voa-0545a338-9629-4d19-8fab-3b29d784539f3,8.3081,63.5435,63.5873,23.5667,8.8571,4.5434
voa-06526d3c-e9e0-4b4d-b3de-113d05c64b202,10.1038,45.0526,55.6648,27.3667,13.4889,5.923
voa-065a2bcf-33f3-4bc4-889e-e5adf9d4e7eb3,8.8353,58.5506,61.5219,29.7667,10.5667,5.8097
voa-06756f69-21cf-4579-b171-fb7776bbbf993,8.4483,57.7248,58.684,23.3333,9.5667,7.4653
voa-06838ce8-ca68-4363-af62-db0e3a9c69983,10.0604,49.1899,60.7526,42.2,14.5476,10.8849
voa-06b5ff95-3ddd-4cdc-bd6e-0b12f60999ec2,10.8587,38.573,47.1563,27.5333,15.5556,7.4121
voa-072edbdb-92fb-45b6-8d96-c88df61275893,9.0382,54.0987,63.6078,33.8333,12.6944,6.2641
voa-07c12bb4-ab7b-40c4-be91-6ae0997228c11,12.7347,-24.6529,70.0,167.0,21.5,74.3084
voa-07ee7827-2277-4e4e-b1de-8c68fcccb9932,10.0513,41.621,51.3071,26.5667,14.0833,7.6674
voa-0814e0f8-c383-436b-8f44-d2178873a2933,10.4143,40.6106,56.5622,41.6333,17.9833,7.9794
voa-081eb797-05fd-49ae-9baa-38d28ec938a03,8.3754,67.0526,67.5128,36.5667,10.1444,6.238
voa-08207996-7ed4-4d13-8ea1-39e81a2df3673,9.9706,55.5278,65.9199,28.2667,11.3333,8.3383
voa-084ec6ec-6b81-45eb-8bfd-1838f9ba58143,8.7392,66.3482,62.9055,21.3667,7.3417,5.4138
voa-08fcae98-6e95-492f-bda5-fda2f256c7f33,10.2645,34.2481,48.0688,30.0,17.3056,7.9712
voa-08fdabab-157a-4e41-8fb6-4c86919051621,9.579,38.8102,48.0,35.5,34.5,12.2566
voa-09a89fd7-4ddc-422d-b875-951b088cf3522,8.9371,58.753,59.2969,29.1667,10.7222,6.565
voa-0a0a661b-cbc7-4e30-9493-d1723148128c2,9.8686,52.5891,59.3252,38.8667,13.3889,8.258
voa-0a5c9d27-e7ad-4f28-82b6-be4a5a49a66e1,8.2721,61.7311,61.0,33.2,10.0,8.7527
voa-0a6acc8d-d71f-4c20-b767-2c58e51814401,8.9193,61.2634,60.0,29.0,7.0,5.3576
voa-0a7e3c05-6e5e-4c4e-a625-0064452f5c9e1,7.4936,66.3966,56.0,23.6,7.2857,6.2827
voa-0aa049e2-6943-41af-925f-56e675d67db31,9.1755,52.1232,57.3034,29.5,7.1429,4.3533
voa-0ad6b0e8-9104-48d7-8b89-29e8939208f63,9.8919,49.3565,58.6736,40.1667,14.25,10.1487
voa-0b11d8c8-95dd-44d7-abe4-6bf5f3986b333,8.5246,59.0482,59.4603,22.6333,8.5444,4.9475
voa-0b4dc213-be41-4137-87d3-0e9f7b8e44383,9.2239,50.0578,53.8756,28.3333,12.7556,6.7926
voa-0b53f3b4-53e6-4e10-a37c-f40d638fb50b3,9.0267,52.5872,54.4444,20.7,10.0278,4.8544
voa-0b67f3c8-453e-422f-aa4f-9754a8a994573,10.4439,35.9074,51.3555,31.7333,16.4167,7.1382
voa-0b79ecf3-7c49-4297-bfa9-1f9a2c928d1f2,9.9383,47.4065,52.9762,28.6667,13.3056,7.6185
voa-0bc63f49-9a70-4ca7-8bba-1d5a1c2be4821,9.1593,55.5606,61.2903,21.3,9.3333,4.767
voa-0bdbab14-fdd9-49cd-a8de-2d8e123bc6a53,9.9912,47.7637,58.5904,34.0,14.0,8.1911
voa-0c00ec41-127c-42a5-b86f-a4c3df9897161,8.828,49.2761,59.0,27.8,12.6,5.7244
voa-0c1f2167-b7b6-4654-a34c-ee77fafe70661,10.3174,36.8558,52.7473,32.0,16.75,10.6843
voa-0c1f6f63-3615-4679-aa0f-742cea54cad33,9.4425,55.4756,57.955,25.2667,10.3643,7.4028
voa-0c35eed7-a115-4e58-b7c8-1a3ccb3b12e21,9.3548,55.1052,57.6471,19.0,8.8333,5.5312
voa-0c9c4c3f-8dae-45e2-91cb-1cf5ff31fcf82,10.3738,47.4285,53.8645,38.3667,15.5167,10.8827
voa-0d50c51b-bdc5-4401-8aca-ac915aeb660b1,9.9924,34.9207,51.8072,28.0,16.25,7.6887
voa-0d81c141-7797-456f-a07e-f7c340eb72221,9.6089,44.5254,53.2609,18.4,10.0,5.4525
voa-0d9a37fa-8ed0-4b3c-a8ca-d77ea83c73cf1,10.3194,34.976,51.0,36.3,14.8,15.9962
voa-0e6d2147-2060-447c-9f7f-14fe6e30d9373,8.5669,55.4687,58.2107,25.5333,11.7143,7.619
voa-0e80ceca-7e33-4c66-9105-1b20ed7125d82,9.7175,51.6062,59.1008,37.0,13.9333,7.7351
voa-0f515c3a-a7f1-405f-b69d-74c921e2967e2,8.5015,67.3562,59.1228,21.1,7.2381,6.201
voa-0fef1c76-dda5-4bf0-9ca8-818da08115e31,9.8078,46.7254,59.7938,28.8,16.0,9.4668
voa-1092d224-c9c7-4fcb-8af3-974490e6086c3,10.0771,44.1552,53.3594,30.3667,14.2,7.6426
voa-109b9e54-d09a-442f-bebe-6c80524577762,9.6329,54.3365,54.3723,25.9,10.4008,6.5019
voa-114c0322-2ba1-4df3-b671-0fec64c59b202,9.3524,50.6709,59.7893,37.6667,14.1667,8.8718
voa-11743e18-4b9d-4feb-ab0c-1009c2a54a9d3,9.3883,53.404,58.254,30.2,12.3444,6.6418
voa-11905aa0-c00b-4a47-8199-2e9d747ba60e3,9.0972,58.354,63.1985,33.8333,11.2278,11.4867
voa-11b7c083-3a57-4502-9e0c-750ad56020da2,8.4615,68.0709,66.3175,30.5,8.8222,6.8303
voa-11e59dd5-2b42-494b-a707-270eb5ab9ebb3,8.9829,59.5202,57.487,22.9,9.3238,5.2423
voa-11f5949f-5642-4612-b2a9-11d01eb704a81,9.202,45.5716,55.102,33.0,15.0,9.4424
voa-12286a3c-dac2-446c-a100-2dea5cc5279f2,10.0897,41.8731,52.9495,33.2667,16.0278,8.9858
voa-1274a740-3242-42ae-b3d7-61245bc8ccff3,9.8925,50.303,61.0146,23.7,11.0,4.9956
voa-1294cb48-162f-4ba1-bf8b-c15e59d216d92,9.0681,60.8786,63.3333,30.7667,10.2,6.8689
voa-12ac4ab0-6d5f-4a23-8dfe-03b41192d6b31,8.8335,65.7062,64.9485,22.8,9.2,8.0062
voa-12b38737-08c7-4910-941f-7ab306f91a0f2,9.246,52.1365,53.8242,30.3,12.6167,7.0359
voa-12cbc8ba-2f52-4c19-8733-ef653cc6db862,9.5108,51.2367,65.8191,43.3,12.7667,11.3688
voa-13751b81-b2c7-4922-9a1d-f7f8810670b91,9.3179,53.2165,52.0,22.5,10.3333,5.8166
voa-13885571-82dc-41d9-96d7-b943770c24492,8.0637,60.8576,59.0471,22.3667,9.5333,4.8769
voa-139b5197-0073-47f1-bd37-35288e94d5232,8.3772,66.9065,63.0649,26.8667,7.6587,7.905
voa-13a474a5-98ce-4801-b20e-69357a8b93cb1,8.1275,74.7925,66.6667,29.4,5.3333,5.9202
voa-1473c555-8511-4229-9e8e-3c1dfca8fe8d1,9.334,53.3144,63.0,18.3,8.5,4.48
voa-1496f708-5417-4732-8fa7-1e25744dc34a2,9.708,47.0301,60.9799,40.1,16.0238,9.3539
voa-1519f2b0-e369-4d69-991e-a4908ba3a2893,8.7534,48.4751,63.659,45.8667,15.0833,12.1988
voa-1531f176-4397-4941-8575-ecf30d67eee13,10.407,41.9475,56.0505,35.5,16.6111,7.7464
voa-154b3e31-a0d4-4853-ae86-3f2e5bf3b9d22,9.1205,58.8562,59.839,27.6,10.0556,6.2726
voa-15a18f51-da36-4a4b-a123-6cf361ab73962,9.0504,53.8146,53.1578,27.9333,11.4167,5.5452
voa-15be4ded-a738-4ed7-963f-6790c9184fac2,7.5608,63.7637,60.419,29.1667,8.5889,7.7855
voa-15e0b891-7bbd-4b42-9093-8c2b9ee9547d1,8.8484,53.6941,60.0,38.0,13.0,8.469
voa-15f2f188-8caa-49f3-a727-3b567d7d4a533,10.9076,40.986,57.555,43.2333,17.4683,16.5408
voa-16031afb-9b1b-4d62-ac16-87388f71e0a63,10.1618,39.7546,51.3756,36.7,18.2556,7.4936
voa-164e6ce4-de02-44b8-abef-cb342222db4e2,9.2591,59.2963,55.697,32.9667,10.4286,8.349
voa-16966feb-cfe9-4102-99ef-e114b826e22d1,9.3936,52.2438,54.0,23.8,10.6667,8.4068
voa-16b5a863-2ab4-4886-a7e2-5334926a58001,8.1924,43.562,53.0,35.8,10.5,4.8639
voa-16f70df0-763d-4661-9055-4399ef681b3d1,8.6324,45.972,56.0,38.0,12.8,6.7452
voa-17134f42-09d4-4508-8992-fab2516d3ed93,8.64,48.7633,61.9828,37.3,15.8056,11.3478
voa-171d44fc-27af-4bec-a108-f72de2d345202,10.2926,28.2809,50.317,32.1667,21.0,7.3707
voa-175a24e6-4daa-4569-8f43-cfd2324fbc8e1,8.3075,61.9591,63.9175,17.6,7.8571,5.4954
voa-17879f81-d369-4f5d-bd51-1a48d82c94221,9.6777,39.4293,52.0,39.3,18.0,10.6825
voa-17d58961-befc-4de2-a5f9-730e2746d3933,7.7559,56.0682,57.784,29.0333,11.2222,5.8862
voa-17e438db-ef2a-4ba8-95c4-c873018f195f3,8.0627,56.5344,61.4989,33.1,11.4444,5.8107
voa-184182c6-f43b-41b5-8d65-87dc2b70dc761,7.8623,68.2066,60.0,19.1,6.5556,5.8912
voa-1855342b-1145-42ec-b4ba-df905b9fe3af1,7.5464,67.5454,64.0,19.5,6.5,4.1194
voa-18646a49-033a-4c54-8355-eed5459888aa2,9.2658,62.7105,69.669,28.7667,9.4111,6.41
voa-1882e80a-02a0-4322-912c-85b7415eee682,8.8602,60.3877,59.9534,29.0,9.9667,6.7511
voa-18fbe2b1-3614-45a9-83f7-34ced26f5c351,10.5633,33.505,52.2222,42.0,20.6667,8.473
voa-1925c032-6d5a-4bd4-a6d8-9ef3ad0554d92,9.1093,58.1329,56.2621,26.2333,10.0833,5.9562
voa-19cebd96-c39e-438c-96d3-87c70b1e63331,7.5315,59.7973,56.5657,15.2,7.5,3.9457
voa-19d5d56e-3a07-4727-bf25-de40e91053743,10.0439,41.3022,58.1831,32.3333,15.5556,6.7471
voa-1b384fcd-c926-479f-b2f8-8c54acab33323,8.9911,49.0242,59.4581,34.4667,13.2556,9.2723
