features,mean,stdev
"('DCR',)",0.3936,0.040004666394476196
"('FEL',)",0.44673333333333337,0.04364243602529793
"('FRE',)",0.38100000000000006,0.044553338819890924
"('LW',)",0.35633333333333334,0.03842597501112438
"('MER',)",0.4043333333333334,0.043472852320602204
"('RL',)",0.4002666666666666,0.04226813877562573
"('DCR', 'FEL')",0.484,0.04572380853195266
"('DCR', 'FRE')",0.4244,0.051439025392529876
"('DCR', 'LW')",0.4106666666666667,0.04674279504788828
"('DCR', 'MER')",0.4112,0.046503333213867584
"('DCR', 'RL')",0.39280000000000004,0.04314502675087053
"('FEL', 'FRE')",0.48679999999999995,0.0445319361058256
"('FEL', 'LW')",0.49,0.04033195589934448
"('FEL', 'MER')",0.4492,0.04132021297137758
"('FEL', 'RL')",0.4448,0.0425945223395372
"('FRE', 'LW')",0.4321333333333333,0.045513172696362195
"('FRE', 'MER')",0.4138,0.04642800878779963
"('FRE', 'RL')",0.3849333333333333,0.038828626324172506
"('LW', 'MER')",0.4092,0.04050547288124573
"('LW', 'RL')",0.4076,0.04402544718682594
"('MER', 'RL')",0.40786666666666666,0.045644812288899696
"('DCR', 'FEL', 'FRE')",0.5133333333333333,0.04706968828827695
"('DCR', 'FEL', 'LW')",0.4876,0.04332328088530077
"('DCR', 'FEL', 'MER')",0.4828666666666665,0.046106205897061436
"('DCR', 'FEL', 'RL')",0.4795333333333333,0.044562116446845546
"('DCR', 'FRE', 'LW')",0.46040000000000003,0.04990497637176745
"('DCR', 'FRE', 'MER')",0.4546,0.045601608158777326
"('DCR', 'FRE', 'RL')",0.4259333333333332,0.05062406103381628
"('DCR', 'LW', 'MER')",0.4322,0.04513490888436577
"('DCR', 'LW', 'RL')",0.41446666666666665,0.04815996493169635
"('DCR', 'MER', 'RL')",0.41359999999999997,0.04488919691863511
"('FEL', 'FRE', 'LW')",0.5309333333333335,0.04176675977643252
"('FEL', 'FRE', 'MER')",0.4972666666666667,0.04569313101793553
"('FEL', 'FRE', 'RL')",0.49633333333333335,0.044623113094249954
"('FEL', 'LW', 'MER')",0.497,0.040853396431631
"('FEL', 'LW', 'RL')",0.49873333333333336,0.03715367485936695
"('FEL', 'MER', 'RL')",0.4400666666666666,0.04260667657643446
"('FRE', 'LW', 'MER')",0.4334,0.0459975361659006
"('FRE', 'LW', 'RL')",0.4328,0.043376183941574824
"('FRE', 'MER', 'RL')",0.42260000000000003,0.048282916233384245
"('LW', 'MER', 'RL')",0.41819999999999996,0.04537356058322953
"('DCR', 'FEL', 'FRE', 'LW')",0.5430000000000001,0.04561797891182816
"('DCR', 'FEL', 'FRE', 'MER')",0.5196666666666667,0.04815830377226987
"('DCR', 'FEL', 'FRE', 'RL')",0.5217999999999999,0.044543162587913916
"('DCR', 'FEL', 'LW', 'MER')",0.5016666666666667,0.04385455759920766
"('DCR', 'FEL', 'LW', 'RL')",0.49113333333333326,0.041785749830401384
"('DCR', 'FEL', 'MER', 'RL')",0.4727333333333333,0.046746075295746016
"('DCR', 'FRE', 'LW', 'MER')",0.4571333333333333,0.0489535380630337
"('DCR', 'FRE', 'LW', 'RL')",0.4507999999999999,0.048034987248879335
"('DCR', 'FRE', 'MER', 'RL')",0.45326666666666665,0.046353664604022654
"('DCR', 'LW', 'MER', 'RL')",0.42300000000000004,0.045923850012820136
"('FEL', 'FRE', 'LW', 'MER')",0.5402,0.04377929495396958
"('FEL', 'FRE', 'LW', 'RL')",0.5464000000000001,0.04450138574621394
"('FEL', 'FRE', 'MER', 'RL')",0.5040666666666667,0.04312921154958538
"('FEL', 'LW', 'MER', 'RL')",0.49893333333333334,0.04165167730382802
"('FRE', 'LW', 'MER', 'RL')",0.4445333333333334,0.04698349592025788
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.5503333333333335,0.04549603157297225
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.5566,0.043860840545221345
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.5228666666666667,0.04553879908629808
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.5004000000000001,0.04223553006652101
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.4587333333333333,0.0469509909965227
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.5469333333333333,0.044556281512512036
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.5488000000000001,0.044285738863280424
