score_type	n_features	features_str	median	lower	upper
gws	1	('DCR',)	0.5522388059701493	0.43955223880597016	0.6680348258706468
gws	1	('FEL',)	0.5373134328358209	0.42424242424242425	0.6556818181818183
gws	1	('FRE',)	0.5373134328358209	0.44546019900497513	0.6515151515151515
gws	1	('LW',)	0.5074626865671642	0.4074118046132972	0.6076775214834916
gws	1	('MER',)	0.47761194029850745	0.3772331524197196	0.5845149253731344
gws	1	('RL',)	0.5303030303030303	0.40049751243781095	0.6444651741293532
gws	2	('DCR', 'FEL')	0.5303030303030303	0.41380597014925374	0.6309701492537314
gws	2	('DCR', 'FRE')	0.5454545454545454	0.417910447761194	0.6594527363184081
gws	2	('DCR', 'LW')	0.5671641791044776	0.4626865671641791	0.6865671641791045
gws	2	('DCR', 'MER')	0.5373134328358209	0.4074118046132972	0.6294776119402986
gws	2	('DCR', 'RL')	0.5606060606060606	0.44546019900497513	0.6556818181818183
gws	2	('FEL', 'FRE')	0.5074626865671642	0.417910447761194	0.6309701492537314
gws	2	('FEL', 'LW')	0.5303030303030303	0.40298507462686567	0.6417910447761194
gws	2	('FEL', 'MER')	0.5303030303030303	0.42250113071008594	0.6212121212121212
gws	2	('FEL', 'RL')	0.5671641791044776	0.46044776119402986	0.6716417910447762
gws	2	('FRE', 'LW')	0.5522388059701493	0.4287313432835821	0.6594527363184081
gws	2	('FRE', 'MER')	0.5223880597014925	0.411318407960199	0.599502487562189
gws	2	('FRE', 'RL')	0.5714608774310267	0.45454545454545453	0.6708333333333334
gws	2	('LW', 'MER')	0.48869289914066033	0.39232247851650837	0.5970149253731343
gws	2	('LW', 'RL')	0.5187697874265038	0.4090909090909091	0.6378561736770693
gws	2	('MER', 'RL')	0.5522388059701493	0.4375904568068747	0.6444651741293532
gws	3	('DCR', 'FEL', 'FRE')	0.5303030303030303	0.4074118046132972	0.6294776119402986
gws	3	('DCR', 'FEL', 'LW')	0.5671641791044776	0.4626865671641791	0.6865671641791045
gws	3	('DCR', 'FEL', 'MER')	0.5303030303030303	0.41380597014925374	0.6212121212121212
gws	3	('DCR', 'FEL', 'RL')	0.5789235639981909	0.46044776119402986	0.6798507462686569
gws	3	('DCR', 'FRE', 'LW')	0.5671641791044776	0.4626865671641791	0.6865671641791045
gws	3	('DCR', 'FRE', 'MER')	0.5338082315694256	0.40049751243781095	0.6309701492537314
gws	3	('DCR', 'FRE', 'RL')	0.5671641791044776	0.4696969696969697	0.6831241519674356
gws	3	('DCR', 'LW', 'MER')	0.5757575757575758	0.4696969696969697	0.6818181818181818
gws	3	('DCR', 'LW', 'RL')	0.5671641791044776	0.4696969696969697	0.6831241519674356
gws	3	('DCR', 'MER', 'RL')	0.5671641791044776	0.4304726368159204	0.6680348258706468
