score_type	n_features	features_str	median	lower	upper
actual	1	('DCR',)	0.38	0.32	0.4527500000000001
actual	1	('FEL',)	0.43	0.34725	0.51
actual	1	('FRE',)	0.36	0.28	0.4427500000000001
actual	1	('LW',)	0.4	0.3145	0.47
actual	1	('MER',)	0.52	0.4445	0.58275
actual	1	('RL',)	0.39	0.32	0.46
actual	2	('DCR', 'FEL')	0.45	0.36725	0.51275
actual	2	('DCR', 'FRE')	0.39	0.29725	0.48275000000000007
actual	2	('DCR', 'LW')	0.46	0.36725	0.56
actual	2	('DCR', 'MER')	0.52	0.44725000000000004	0.59
actual	2	('DCR', 'RL')	0.41	0.34	0.50275
actual	2	('FEL', 'FRE')	0.5	0.43725	0.5627500000000001
actual	2	('FEL', 'LW')	0.53	0.44725000000000004	0.61
actual	2	('FEL', 'MER')	0.52	0.45	0.59275
actual	2	('FEL', 'RL')	0.43	0.33725000000000005	0.5
actual	2	('FRE', 'LW')	0.48	0.4	0.56
actual	2	('FRE', 'MER')	0.515	0.45	0.58
actual	2	('FRE', 'RL')	0.38	0.31	0.46275000000000005
actual	2	('LW', 'MER')	0.56	0.47725	0.64
actual	2	('LW', 'RL')	0.45	0.35	0.54
actual	2	('MER', 'RL')	0.52	0.43725	0.58
actual	3	('DCR', 'FEL', 'FRE')	0.51	0.43725	0.58275
actual	3	('DCR', 'FEL', 'LW')	0.53	0.44	0.61275
actual	3	('DCR', 'FEL', 'MER')	0.52	0.44725000000000004	0.57275
actual	3	('DCR', 'FEL', 'RL')	0.45	0.37	0.52275
actual	3	('DCR', 'FRE', 'LW')	0.49	0.41	0.57275
actual	3	('DCR', 'FRE', 'MER')	0.515	0.44	0.59
actual	3	('DCR', 'FRE', 'RL')	0.42	0.35	0.51
actual	3	('DCR', 'LW', 'MER')	0.56	0.48	0.65
actual	3	('DCR', 'LW', 'RL')	0.48	0.4	0.57
actual	3	('DCR', 'MER', 'RL')	0.515	0.43	0.58275
actual	3	('FEL', 'FRE', 'LW')	0.6	0.52	0.67
actual	3	('FEL', 'FRE', 'MER')	0.5	0.44	0.58
actual	3	('FEL', 'FRE', 'RL')	0.49	0.42725	0.56
actual	3	('FEL', 'LW', 'MER')	0.59	0.5	0.68
actual	3	('FEL', 'LW', 'RL')	0.52	0.44	0.60275
actual	3	('FEL', 'MER', 'RL')	0.51	0.43725	0.58
actual	3	('FRE', 'LW', 'MER')	0.6	0.51	0.68
actual	3	('FRE', 'LW', 'RL')	0.49	0.38725000000000004	0.58275
actual	3	('FRE', 'MER', 'RL')	0.51	0.43	0.57275
actual	3	('LW', 'MER', 'RL')	0.57	0.49	0.66
actual	4	('DCR', 'FEL', 'FRE', 'LW')	0.59	0.50725	0.6727500000000001
actual	4	('DCR', 'FEL', 'FRE', 'MER')	0.51	0.44	0.58275
actual	4	('DCR', 'FEL', 'FRE', 'RL')	0.5	0.43	0.58
actual	4	('DCR', 'FEL', 'LW', 'MER')	0.59	0.49	0.68
actual	4	('DCR', 'FEL', 'LW', 'RL')	0.53	0.43725	0.61275
actual	4	('DCR', 'FEL', 'MER', 'RL')	0.51	0.43725	0.58
actual	4	('DCR', 'FRE', 'LW', 'MER')	0.6	0.5145000000000001	0.68
actual	4	('DCR', 'FRE', 'LW', 'RL')	0.505	0.41	0.59
actual	4	('DCR', 'FRE', 'MER', 'RL')	0.53	0.44	0.59275
actual	4	('DCR', 'LW', 'MER', 'RL')	0.58	0.49	0.6627500000000001
actual	4	('FEL', 'FRE', 'LW', 'MER')	0.6	0.51725	0.6827500000000001
actual	4	('FEL', 'FRE', 'LW', 'RL')	0.6	0.52	0.6727500000000001
actual	4	('FEL', 'FRE', 'MER', 'RL')	0.51	0.44	0.59
actual	4	('FEL', 'LW', 'MER', 'RL')	0.6	0.51725	0.6827500000000001
actual	4	('FRE', 'LW', 'MER', 'RL')	0.61	0.52	0.69
actual	5	('DCR', 'FEL', 'FRE', 'LW', 'MER')	0.6	0.51725	0.68
actual	5	('DCR', 'FEL', 'FRE', 'LW', 'RL')	0.595	0.51725	0.68
actual	5	('DCR', 'FEL', 'FRE', 'MER', 'RL')	0.515	0.43	0.59
actual	5	('DCR', 'FEL', 'LW', 'MER', 'RL')	0.59	0.50725	0.69
actual	5	('DCR', 'FRE', 'LW', 'MER', 'RL')	0.6	0.51	0.68
actual	5	('FEL', 'FRE', 'LW', 'MER', 'RL')	0.6	0.52	0.69
actual	6	('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')	0.6	0.5	0.6727500000000001
