score_type	n_features	features_str	median	lower	upper
ka5	1	('DCR',)	0.395	0.31725000000000003	0.48
ka5	1	('FEL',)	0.45	0.37	0.5327500000000001
ka5	1	('FRE',)	0.38	0.29	0.46275000000000005
ka5	1	('LW',)	0.36	0.28	0.44
ka5	1	('MER',)	0.4	0.32	0.48
ka5	1	('RL',)	0.4	0.32725000000000004	0.48
ka5	2	('DCR', 'FEL')	0.48	0.39	0.5627500000000001
ka5	2	('DCR', 'FRE')	0.43	0.31725000000000003	0.52
ka5	2	('DCR', 'LW')	0.41	0.32725000000000004	0.50275
ka5	2	('DCR', 'MER')	0.41	0.32725000000000004	0.4955000000000001
ka5	2	('DCR', 'RL')	0.39	0.3	0.48
ka5	2	('FEL', 'FRE')	0.49	0.40725	0.58275
ka5	2	('FEL', 'LW')	0.49	0.42	0.5627500000000001
ka5	2	('FEL', 'MER')	0.45	0.37	0.5327500000000001
ka5	2	('FEL', 'RL')	0.445	0.37725000000000003	0.52
ka5	2	('FRE', 'LW')	0.43	0.34725	0.53
ka5	2	('FRE', 'MER')	0.41	0.32725000000000004	0.52
ka5	2	('FRE', 'RL')	0.39	0.31725000000000003	0.46
ka5	2	('LW', 'MER')	0.41	0.33	0.49
ka5	2	('LW', 'RL')	0.41	0.33	0.49
ka5	2	('MER', 'RL')	0.41	0.31	0.49
ka5	3	('DCR', 'FEL', 'FRE')	0.51	0.43	0.61275
ka5	3	('DCR', 'FEL', 'LW')	0.49	0.40449999999999997	0.57
ka5	3	('DCR', 'FEL', 'MER')	0.48	0.39	0.57
ka5	3	('DCR', 'FEL', 'RL')	0.48	0.39	0.57
ka5	3	('DCR', 'FRE', 'LW')	0.45	0.35725	0.55
ka5	3	('DCR', 'FRE', 'MER')	0.455	0.37725000000000003	0.5427500000000001
ka5	3	('DCR', 'FRE', 'RL')	0.43	0.32	0.52
ka5	3	('DCR', 'LW', 'MER')	0.43	0.33725000000000005	0.52275
ka5	3	('DCR', 'LW', 'RL')	0.41	0.33	0.51275
ka5	3	('DCR', 'MER', 'RL')	0.42	0.33	0.5
ka5	3	('FEL', 'FRE', 'LW')	0.53	0.45	0.61
ka5	3	('FEL', 'FRE', 'MER')	0.5	0.39725000000000005	0.58
ka5	3	('FEL', 'FRE', 'RL')	0.5	0.42	0.59275
ka5	3	('FEL', 'LW', 'MER')	0.5	0.42	0.58
ka5	3	('FEL', 'LW', 'RL')	0.5	0.43	0.57
ka5	3	('FEL', 'MER', 'RL')	0.45	0.35	0.51275
ka5	3	('FRE', 'LW', 'MER')	0.43	0.35725	0.52275
ka5	3	('FRE', 'LW', 'RL')	0.43	0.35725	0.52
ka5	3	('FRE', 'MER', 'RL')	0.42	0.33	0.51
ka5	3	('LW', 'MER', 'RL')	0.415	0.33	0.51
ka5	4	('DCR', 'FEL', 'FRE', 'LW')	0.54	0.45	0.63
ka5	4	('DCR', 'FEL', 'FRE', 'MER')	0.52	0.43	0.63
ka5	4	('DCR', 'FEL', 'FRE', 'RL')	0.52	0.43725	0.62
ka5	4	('DCR', 'FEL', 'LW', 'MER')	0.5	0.41725	0.58
ka5	4	('DCR', 'FEL', 'LW', 'RL')	0.495	0.41	0.57275
ka5	4	('DCR', 'FEL', 'MER', 'RL')	0.47	0.39	0.56
ka5	4	('DCR', 'FRE', 'LW', 'MER')	0.46	0.36725	0.5527500000000001
ka5	4	('DCR', 'FRE', 'LW', 'RL')	0.445	0.35	0.55
ka5	4	('DCR', 'FRE', 'MER', 'RL')	0.46	0.37	0.54
ka5	4	('DCR', 'LW', 'MER', 'RL')	0.42	0.34	0.51
ka5	4	('FEL', 'FRE', 'LW', 'MER')	0.545	0.44725000000000004	0.62
ka5	4	('FEL', 'FRE', 'LW', 'RL')	0.55	0.46725	0.6255000000000002
ka5	4	('FEL', 'FRE', 'MER', 'RL')	0.5	0.41	0.59
ka5	4	('FEL', 'LW', 'MER', 'RL')	0.5	0.42	0.57275
ka5	4	('FRE', 'LW', 'MER', 'RL')	0.44	0.37	0.5427500000000001
ka5	5	('DCR', 'FEL', 'FRE', 'LW', 'MER')	0.55	0.45	0.63
ka5	5	('DCR', 'FEL', 'FRE', 'LW', 'RL')	0.55	0.47	0.64
ka5	5	('DCR', 'FEL', 'FRE', 'MER', 'RL')	0.52	0.44	0.61275
ka5	5	('DCR', 'FEL', 'LW', 'MER', 'RL')	0.51	0.42	0.58
ka5	5	('DCR', 'FRE', 'LW', 'MER', 'RL')	0.46	0.37	0.55
ka5	5	('FEL', 'FRE', 'LW', 'MER', 'RL')	0.54	0.46725	0.63275
ka5	6	('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')	0.55	0.46725	0.62
