features,mean,stdev
"('DCR',)",0.5973058947685813,0.061266166341726165
"('FEL',)",0.6823051409618575,0.05585726585215897
"('FRE',)",0.5559399969847731,0.05824664165788221
"('LW',)",0.564881652344339,0.05308206121871247
"('MER',)",0.7723021257349616,0.04926074228513712
"('RL',)",0.598150158299412,0.061407928060346145
"('DCR', 'FEL')",0.6823548922056385,0.055828118130261006
"('DCR', 'FRE')",0.5905849540177899,0.0614880458932461
"('DCR', 'LW')",0.679742198100407,0.06199517532606866
"('DCR', 'MER')",0.7817171717171717,0.046149411441739015
"('DCR', 'RL')",0.6400979948741142,0.057053258541917985
"('FEL', 'FRE')",0.7712030755314337,0.0476869722705676
"('FEL', 'LW')",0.7585873661993066,0.05430026440699568
"('FEL', 'MER')",0.771899592944369,0.048425392300623614
"('FEL', 'RL')",0.6869908035579677,0.05478196149293764
"('FRE', 'LW')",0.6669244685662595,0.058299067173393136
"('FRE', 'MER')",0.7724996230966381,0.048695040340652945
"('FRE', 'RL')",0.6015709332127243,0.059043149486314186
"('LW', 'MER')",0.7760259309513041,0.05089377343441422
"('LW', 'RL')",0.6066410372380521,0.05814002582900415
"('MER', 'RL')",0.7750158299412031,0.04826040847247425
"('DCR', 'FEL', 'FRE')",0.7777023971053822,0.04770653317870591
"('DCR', 'FEL', 'LW')",0.7542846374189658,0.055021906764333335
"('DCR', 'FEL', 'MER')",0.7840177898386853,0.047228785106988046
"('DCR', 'FEL', 'RL')",0.6811608623548923,0.05439256846047931
"('DCR', 'FRE', 'LW')",0.697535052012664,0.05881822869553146
"('DCR', 'FRE', 'MER')",0.7892341323684606,0.04682121055857186
"('DCR', 'FRE', 'RL')",0.6426051560379918,0.056494953043200485
"('DCR', 'LW', 'MER')",0.7813161465400272,0.049022634187270174
"('DCR', 'LW', 'RL')",0.7040811096034977,0.05994238764704325
"('DCR', 'MER', 'RL')",0.7817051108095884,0.04751606857371667
"('FEL', 'FRE', 'LW')",0.7871295039951757,0.05039452367933351
"('FEL', 'FRE', 'MER')",0.7712045831448817,0.04697015365506834
"('FEL', 'FRE', 'RL')",0.7679752751394542,0.04514922200965507
"('FEL', 'LW', 'MER')",0.7859460274385648,0.05154642987395107
"('FEL', 'LW', 'RL')",0.763580581938791,0.05433482916938
"('FEL', 'MER', 'RL')",0.7754047942107644,0.04911692221233423
"('FRE', 'LW', 'MER')",0.7807327001356852,0.0504815172518271
"('FRE', 'LW', 'RL')",0.6616146540027137,0.061087500674618704
"('FRE', 'MER', 'RL')",0.7759083371023671,0.04883223724904389
"('LW', 'MER', 'RL')",0.7802216191768431,0.04707478774007247
"('DCR', 'FEL', 'FRE', 'LW')",0.7940328659731646,0.04848688475157121
"('DCR', 'FEL', 'FRE', 'MER')",0.7892311171415649,0.04420657461553838
"('DCR', 'FEL', 'FRE', 'RL')",0.7786763153927332,0.04898991891665215
"('DCR', 'FEL', 'LW', 'MER')",0.7883506708879844,0.04986015884527401
"('DCR', 'FEL', 'LW', 'RL')",0.7575923413236846,0.05556320619769691
"('DCR', 'FEL', 'MER', 'RL')",0.780600030152269,0.047828470914268194
"('DCR', 'FRE', 'LW', 'MER')",0.793355947535052,0.04958801581623601
"('DCR', 'FRE', 'LW', 'RL')",0.7014246947082767,0.055655143172000314
"('DCR', 'FRE', 'MER', 'RL')",0.7823051409618574,0.04700513746052362
"('DCR', 'LW', 'MER', 'RL')",0.7915151515151515,0.04446367299352703
"('FEL', 'FRE', 'LW', 'MER')",0.785736469169305,0.04950009038269445
"('FEL', 'FRE', 'LW', 'RL')",0.7915045982210162,0.048582094809668776
"('FEL', 'FRE', 'MER', 'RL')",0.7789130107040555,0.04719978582657939
"('FEL', 'LW', 'MER', 'RL')",0.784536408864767,0.048381355899529965
"('FRE', 'LW', 'MER', 'RL')",0.7826307854666062,0.048345822833997625
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.7932519222071461,0.050380893405357036
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.80332127242575,0.049697724435533164
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.7871008593396653,0.04785225273834676
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.7884215287200362,0.046063613491372245
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.7850218603949948,0.04614178293619047
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.7862400120609077,0.04860295059766932
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.7934313282074476,0.04874600533958097
