features,mean,stdev
"('DCR',)",0.3845333333333333,0.03582525490333445
"('FRE',)",0.3604,0.04292442971859576
"('LW',)",0.39433333333333337,0.03823465560050056
"('MER',)",0.521,0.03645545226711638
"('DCR', 'FRE')",0.39446666666666663,0.045277465574929086
"('DCR', 'LW')",0.4574666666666667,0.04791919123784217
"('DCR', 'MER')",0.5212666666666667,0.03784700193615811
"('FRE', 'LW')",0.4780666666666667,0.04385881388678399
"('FRE', 'MER')",0.5146,0.03562078045186546
"('LW', 'MER')",0.5603333333333333,0.04143133543051147
"('DCR', 'FRE', 'LW')",0.4944666666666666,0.04629667614658987
"('DCR', 'FRE', 'MER')",0.518,0.037788887255382375
"('DCR', 'LW', 'MER')",0.5665333333333332,0.04506272172082916
"('FRE', 'LW', 'MER')",0.5950000000000001,0.04235957192103496
"('DCR', 'FRE', 'LW', 'MER')",0.6022666666666667,0.04507987971984348
