features,mean,stdev
"('DCR',)",0.3845333333333333,0.03582525490333445
"('FEL',)",0.4299999999999999,0.042190046219457975
"('FRE',)",0.3604,0.04292442971859576
"('LW',)",0.39433333333333337,0.03823465560050056
"('MER',)",0.521,0.03645545226711638
"('RL',)",0.3893333333333333,0.037906317268878664
"('DCR', 'FEL')",0.4425333333333333,0.04224037036874663
"('DCR', 'FRE')",0.39446666666666663,0.045277465574929086
"('DCR', 'LW')",0.4574666666666667,0.04791919123784217
"('DCR', 'MER')",0.5212666666666667,0.03784700193615811
"('DCR', 'RL')",0.4126,0.04313436371772897
"('FEL', 'FRE')",0.5,0.036221540552549676
"('FEL', 'LW')",0.5239999999999999,0.043343588530100584
"('FEL', 'MER')",0.5193333333333334,0.03801169410706249
"('FEL', 'RL')",0.4246666666666667,0.04285894176118782
"('FRE', 'LW')",0.4780666666666667,0.04385881388678399
"('FRE', 'MER')",0.5146,0.03562078045186546
"('FRE', 'RL')",0.3854,0.03827322824116095
"('LW', 'MER')",0.5603333333333333,0.04143133543051147
"('LW', 'RL')",0.45366666666666666,0.045759030681264315
"('MER', 'RL')",0.5141333333333333,0.036151287052545666
"('DCR', 'FEL', 'FRE')",0.5098,0.039740323769860426
"('DCR', 'FEL', 'LW')",0.5286000000000001,0.04295780875851716
"('DCR', 'FEL', 'MER')",0.5152666666666667,0.037642115892825276
"('DCR', 'FEL', 'RL')",0.44326666666666675,0.04168927386697393
"('DCR', 'FRE', 'LW')",0.4944666666666666,0.04629667614658987
"('DCR', 'FRE', 'MER')",0.518,0.037788887255382375
"('DCR', 'FRE', 'RL')",0.4238666666666667,0.041549755982703704
"('DCR', 'LW', 'MER')",0.5665333333333332,0.04506272172082916
"('DCR', 'LW', 'RL')",0.4847333333333332,0.04554406901257531
"('DCR', 'MER', 'RL')",0.5150666666666666,0.03739423603831063
"('FEL', 'FRE', 'LW')",0.5949333333333333,0.04254795986752936
"('FEL', 'FRE', 'MER')",0.5057333333333333,0.03744056029970113
"('FEL', 'FRE', 'RL')",0.48873333333333335,0.037952543466223135
"('FEL', 'LW', 'MER')",0.5879333333333332,0.044531586792098725
"('FEL', 'LW', 'RL')",0.5202666666666667,0.04198327709404729
"('FEL', 'MER', 'RL')",0.5078666666666667,0.03762245192553098
"('FRE', 'LW', 'MER')",0.5950000000000001,0.04235957192103496
"('FRE', 'LW', 'RL')",0.4846,0.04994169934366805
"('FRE', 'MER', 'RL')",0.5101333333333334,0.03553377110424518
"('LW', 'MER', 'RL')",0.5729333333333333,0.04234062929254699
"('DCR', 'FEL', 'FRE', 'LW')",0.5935999999999999,0.04243080641860738
"('DCR', 'FEL', 'FRE', 'MER')",0.5142666666666668,0.038838926635815035
"('DCR', 'FEL', 'FRE', 'RL')",0.505,0.03952636251077671
"('DCR', 'FEL', 'LW', 'MER')",0.5913333333333333,0.047225228662466236
"('DCR', 'FEL', 'LW', 'RL')",0.5256000000000001,0.04310421479778205
"('DCR', 'FEL', 'MER', 'RL')",0.5114666666666666,0.03866758619596292
"('DCR', 'FRE', 'LW', 'MER')",0.6022666666666667,0.04507987971984348
"('DCR', 'FRE', 'LW', 'RL')",0.5021333333333333,0.04936377439197921
"('DCR', 'FRE', 'MER', 'RL')",0.521,0.040853396431631
"('DCR', 'LW', 'MER', 'RL')",0.5806666666666668,0.047182859411254656
"('FEL', 'FRE', 'LW', 'MER')",0.5992666666666667,0.042553443521712274
"('FEL', 'FRE', 'LW', 'RL')",0.5988,0.041262089137609106
"('FEL', 'FRE', 'MER', 'RL')",0.5115333333333334,0.04381379792815147
"('FEL', 'LW', 'MER', 'RL')",0.6012666666666666,0.04603327299054698
"('FRE', 'LW', 'MER', 'RL')",0.6048666666666666,0.0447770278404253
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.6008,0.0449965924635781
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.5992,0.042245630937806256
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.5110666666666668,0.041539485900633014
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.5956,0.048145335530384796
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.6010666666666666,0.045256994548418215
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.6024,0.044402402337411134
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.6003999999999999,0.0447642714673209
