id,sent_count,syll_count,word_count,miniw_count,monosyll_count,not_in_dale_count,ave_sent_len,ave_word_len
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,40,1033,615,184,326.0,204.0,15.375,1.6796747967479675
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,42,981,630,212,365.0,157.0,15.0,1.5571428571428572
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,74,1543,919,302,443.0,257.0,12.41891891891892,1.6789989118607183
voa-00860f99-097f-4349-9691-fb435e27d3c31,9,176,95,38,52.0,31.0,10.555555555555555,1.8526315789473684
voa-00da8787-0446-440f-8e43-a5b45215773f1,7,145,91,34,44.0,23.0,13.0,1.5934065934065933
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,28,738,466,173,257.0,139.0,16.642857142857142,1.5836909871244635
voa-0157644f-3933-4e00-b40a-0096acdab6842,28,610,382,155,188.0,81.0,13.642857142857142,1.5968586387434556
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,21,545,321,124,162.0,94.0,15.285714285714286,1.6978193146417446
voa-01825248-a485-493f-bad5-fda948113aa93,34,868,544,180,302.0,174.0,16.0,1.5955882352941178
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,9,163,116,47,69.0,25.0,12.88888888888889,1.4051724137931034
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,41,898,551,192,276.0,144.0,13.439024390243903,1.6297640653357532
voa-01dc0158-15fe-40de-916a-09a1237678eb3,42,948,651,273,375.0,113.0,15.5,1.456221198156682
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,7,173,82,27,34.0,33.0,11.714285714285714,2.1097560975609757
voa-0253c0d2-1d1a-482f-b886-1612d38172181,11,195,132,50,77.0,32.0,12.0,1.4772727272727273
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,20,419,302,121,178.0,56.0,15.1,1.3874172185430464
voa-02889067-82e2-416a-bca2-343099f381a81,11,159,104,38,65.0,20.0,9.454545454545455,1.5288461538461537
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,47,1110,678,255,352.0,182.0,14.425531914893616,1.6371681415929205
voa-02fb06ba-d57f-4ab4-ace2-37b4bced855f3,55,1476,866,298,447.0,257.0,15.745454545454546,1.7043879907621247
voa-0348227f-0217-48ce-ac9e-277f103a731a2,42,1084,681,235,382.0,156.0,16.214285714285715,1.591776798825257
voa-034fa7dc-a4c6-4ad9-b619-fc95481b92b11,7,173,100,40,41.0,31.0,14.285714285714286,1.73
voa-03abe405-0ac2-47db-83b1-d59e4971313f1,6,156,96,40,48.0,27.0,16.0,1.625
voa-045457d5-d7d8-4331-a714-64d8c345745d3,31,977,533,161,242.0,184.0,17.193548387096776,1.8330206378986866
voa-04764b3c-da15-44da-afca-ab3295502bcf1,7,195,125,46,65.0,25.0,17.857142857142858,1.56
voa-0494bc20-d6bc-4a3c-80b6-7a1a673f96bf3,44,1207,697,239,362.0,209.0,15.840909090909092,1.7317073170731707
voa-0545a338-9629-4d19-8fab-3b29d784539f3,63,1373,894,319,527.0,216.0,14.19047619047619,1.5357941834451903
