"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"last-j","nouns modified by ""%w""","year-n",289449,286.80145,12.251
"reprint-n","nouns modified by ""%w""","right-n",243381,241.15483,13.723
"last-j","nouns modified by ""%w""","week-n",149313,147.94726,11.709
"first-j","nouns modified by ""%w""","time-n",113032,111.99811,11.335
"chief-j","nouns modified by ""%w""","executive-n",109671,108.66786,12.947
"last-j","nouns modified by ""%w""","night-n",105461,104.49636,11.328
"last-j","nouns modified by ""%w""","month-n",89577,88.75765,11.094
"New-n","nouns modified by ""%w""","York-n",77255,76.54836,12.603
"United-n","nouns modified by ""%w""","States-n",75912,75.21764,13.254
"next-j","nouns modified by ""%w""","year-n",72401,71.73876,10.845
"prime-j","nouns modified by ""%w""","minister-n",64254,63.66628,12.551
"World-n","nouns modified by ""%w""","Cup-n",56583,56.06544,12.368
"next-j","nouns modified by ""%w""","week-n",48060,47.62040,10.933
"South-n","nouns modified by ""%w""","Africa-n",47582,47.14677,12.756
"many-j","nouns modified by ""%w""","people-n",47553,47.11804,10.691
"Prime-n","nouns modified by ""%w""","Minister-n",47227,46.79502,13.306
"Premier-n","nouns modified by ""%w""","League-n",46544,46.11827,12.720
"young-j","nouns modified by ""%w""","people-n",43486,43.08824,10.933
"same-j","nouns modified by ""%w""","time-n",43356,42.95943,10.610
"Hong-n","nouns modified by ""%w""","Kong-n",42143,41.75752,13.569
"next-j","nouns modified by ""%w""","month-n",41486,41.10653,10.947
"few-j","nouns modified by ""%w""","year-n",40073,39.70646,10.039
"New-n","nouns modified by ""%w""","Zealand-n",39849,39.48451,11.819
"Manchester-n","nouns modified by ""%w""","United-n",38915,38.55905,12.668
"last-j","nouns modified by ""%w""","season-n",38689,38.33512,9.995
"state-n","nouns modified by ""%w""","government-n",37493,37.15006,11.504
"interest-n","nouns modified by ""%w""","rate-n",36602,36.26721,11.833
"block-time-j","nouns modified by ""%w""","updated-timeUpdated-n",36592,36.25730,13.994
"police-n","nouns modified by ""%w""","officer-n",36019,35.68954,11.394
"second-j","nouns modified by ""%w""","half-n",33551,33.24411,11.357
"few-j","nouns modified by ""%w""","day-n",32989,32.68725,10.632
"long-j","nouns modified by ""%w""","time-n",32886,32.58520,10.398
"first-j","nouns modified by ""%w""","half-n",32696,32.39693,10.127
"police-n","nouns modified by ""%w""","station-n",32477,32.17994,11.482
"Boris-n","nouns modified by ""%w""","Johnson-n",31035,30.75113,12.837
"social-j","nouns modified by ""%w""","medium-n",30949,30.66591,11.899
"past-j","nouns modified by ""%w""","year-n",29831,29.55814,9.937
"recent-j","nouns modified by ""%w""","year-n",29638,29.36691,9.790
"high-j","nouns modified by ""%w""","level-n",28736,28.47316,10.691
"Northern-n","nouns modified by ""%w""","Ireland-n",28447,28.18680,13.254
"last-j","nouns modified by ""%w""","time-n",26990,26.74313,9.087
"few-j","nouns modified by ""%w""","week-n",26852,26.60639,10.164
"champion-n","nouns modified by ""%w""","League-n",26296,26.05547,11.995
"other-j","nouns modified by ""%w""","country-n",26286,26.04557,9.805
"few-j","nouns modified by ""%w""","month-n",26046,25.80776,10.361
"White-n","nouns modified by ""%w""","House-n",25893,25.65616,12.427
"Manchester-n","nouns modified by ""%w""","City-n",25699,25.46394,11.870
"David-n","nouns modified by ""%w""","Cameron-n",24742,24.51569,11.599
"little-j","nouns modified by ""%w""","bit-n",24603,24.37796,11.606
"young-j","nouns modified by ""%w""","man-n",24018,23.79831,10.457
"many-j","nouns modified by ""%w""","year-n",23102,22.89069,9.080
"good-j","nouns modified by ""%w""","thing-n",22626,22.41904,9.453
"good-j","nouns modified by ""%w""","way-n",22040,21.83840,9.460
"next-j","nouns modified by ""%w""","day-n",21713,21.51439,9.951
"press-n","nouns modified by ""%w""","conference-n",21604,21.40639,12.368
"good-j","nouns modified by ""%w""","news-n",21291,21.09625,9.644
"local-j","nouns modified by ""%w""","authority-n",21184,20.99023,10.845
"family-n","nouns modified by ""%w""","member-n",21108,20.91493,10.984
"other-j","nouns modified by ""%w""","people-n",21092,20.89907,9.124
"more-j","nouns modified by ""%w""","people-n",20947,20.75540,9.512
"most-j","nouns modified by ""%w""","people-n",20932,20.74054,10.171
"Old-n","nouns modified by ""%w""","Trafford-n",20794,20.60380,13.188
"senior-j","nouns modified by ""%w""","official-n",20744,20.55426,10.757
"last-j","nouns modified by ""%w""","summer-n",20649,20.46013,9.248
"climate-n","nouns modified by ""%w""","change-n",20236,20.05090,11.848
"high-j","nouns modified by ""%w""","court-n",20177,19.99244,10.383
"more-j","nouns modified by ""%w""","time-n",19522,19.34344,9.204
"mobile-j","nouns modified by ""%w""","phone-n",19502,19.32362,12.683
"large-j","nouns modified by ""%w""","number-n",19445,19.26714,10.522
"new-j","nouns modified by ""%w""","Delhi-n",19422,19.24435,9.204
