word,stem,lemma_n,lemma_v,lemma_a,lemma_r,hw_class
a,a,a,a,a,a,1
able,abl,able,able,able,able,1
about,about,about,about,about,about,1
above,abov,above,above,above,above,1
absolute,absolut,absolute,absolute,absolute,absolute,1
accept,accept,accept,accept,accept,accept,1
across,across,across,across,across,across,1
act,act,act,act,act,act,1
actual,actual,actual,actual,actual,actual,1
add,add,add,add,add,add,1
address,address,address,address,address,address,1
admit,admit,admit,admit,admit,admit,1
advertise,advertis,advertise,advertise,advertise,advertise,1
afford,afford,afford,afford,afford,afford,1
afraid,afraid,afraid,afraid,afraid,afraid,1
after,after,after,after,after,after,1
afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,1
again,again,again,again,again,again,1
against,against,against,against,against,against,1
age,age,age,age,age,age,1
ago,ago,ago,ago,ago,ago,1
agree,agre,agree,agree,agree,agree,1
ahead,ahead,ahead,ahead,ahead,ahead,1
air,air,air,air,air,air,1
all,all,all,all,all,all,1
allow,allow,allow,allow,allow,allow,1
almost,almost,almost,almost,almost,almost,1
alone,alon,alone,alone,alone,alone,1
along,along,along,along,along,along,1
already,alreadi,already,already,already,already,1
alright,alright,alright,alright,alright,alright,1
also,also,also,also,also,also,1
although,although,although,although,although,although,1
always,alway,always,always,always,always,1
amaze,amaz,amaze,amaze,amaze,amaze,1
among,among,among,among,among,among,1
amount,amount,amount,amount,amount,amount,1
and,and,and,and,and,and,1
angry,angri,angry,angry,angry,angry,1
animal,anim,animal,animal,animal,animal,1
another,anoth,another,another,another,another,1
answer,answer,answer,answer,answer,answer,1
any,ani,any,any,any,any,1
apart,apart,apart,apart,apart,apart,1
apparent,appar,apparent,apparent,apparent,apparent,1
appear,appear,appear,appear,appear,appear,1
area,area,area,area,area,area,1
arm,arm,arm,arm,arm,arm,1
around,around,around,around,around,around,1
arrange,arrang,arrange,arrange,arrange,arrange,1
arrive,arriv,arrive,arrive,arrive,arrive,1
art,art,art,art,art,art,1
as,as,a,as,a,a,1
ashamed,asham,ashamed,ashamed,ashamed,ashamed,1
ask,ask,ask,ask,ask,ask,1
at,at,at,at,at,at,1
aunt,aunt,aunt,aunt,aunt,aunt,1
autumn,autumn,autumn,autumn,autumn,autumn,1
aware,awar,aware,aware,aware,aware,1
away,away,away,away,away,away,1
awful,aw,awful,awful,awful,awful,1
