word,stem,lemma_n,lemma_v,lemma_a,lemma_r
'tis,'tis,'tis,'tis,'tis,'tis
a,a,a,a,a,a
able,abl,able,able,able,able
aboard,aboard,aboard,aboard,aboard,aboard
about,about,about,about,about,about
above,abov,above,above,above,above
absent,absent,absent,absent,absent,absent
accept,accept,accept,accept,accept,accept
accident,accid,accident,accident,accident,accident
account,account,account,account,account,account
ache,ach,ache,ache,ache,ache
aching,ach,aching,ache,aching,aching
acorn,acorn,acorn,acorn,acorn,acorn
acre,acr,acre,acre,acre,acre
across,across,across,across,across,across
act,act,act,act,act,act
acts,act,act,act,act,act
add,add,add,add,add,add
address,address,address,address,address,address
admire,admir,admire,admire,admire,admire
adventure,adventur,adventure,adventure,adventure,adventure
afar,afar,afar,afar,afar,afar
afraid,afraid,afraid,afraid,afraid,afraid
after,after,after,after,after,after
afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
afterward,afterward,afterward,afterward,afterward,afterward
afterwards,afterward,afterwards,afterwards,afterwards,afterwards
again,again,again,again,again,again
against,against,against,against,against,against
age,age,age,age,age,age
aged,age,aged,age,aged,aged
ago,ago,ago,ago,ago,ago
agree,agre,agree,agree,agree,agree
ah,ah,ah,ah,ah,ah
ahead,ahead,ahead,ahead,ahead,ahead
aid,aid,aid,aid,aid,aid
aim,aim,aim,aim,aim,aim
air,air,air,air,air,air
airfield,airfield,airfield,airfield,airfield,airfield
airplane,airplan,airplane,airplane,airplane,airplane
airport,airport,airport,airport,airport,airport
airship,airship,airship,airship,airship,airship
airy,airi,airy,airy,airy,airy
alarm,alarm,alarm,alarm,alarm,alarm
alike,alik,alike,alike,alike,alike
alive,aliv,alive,alive,alive,alive
all,all,all,all,all,all
alley,alley,alley,alley,alley,alley
alligator,allig,alligator,alligator,alligator,alligator
allow,allow,allow,allow,allow,allow
almost,almost,almost,almost,almost,almost
alone,alon,alone,alone,alone,alone
along,along,along,along,along,along
aloud,aloud,aloud,aloud,aloud,aloud
already,alreadi,already,already,already,already
also,also,also,also,also,also
always,alway,always,always,always,always
am,am,am,be,am,am
america,america,america,america,america,america
american,american,american,american,american,american
among,among,among,among,among,among
amount,amount,amount,amount,amount,amount
an,an,an,an,an,an
and,and,and,and,and,and
angel,angel,angel,angel,angel,angel
anger,anger,anger,anger,anger,anger
angry,angri,angry,angry,angry,angry
animal,anim,animal,animal,animal,animal
another,anoth,another,another,another,another
answer,answer,answer,answer,answer,answer
ant,ant,ant,ant,ant,ant
any,ani,any,any,any,any
anybody,anybodi,anybody,anybody,anybody,anybody
anyhow,anyhow,anyhow,anyhow,anyhow,anyhow
anyone,anyon,anyone,anyone,anyone,anyone
anything,anyth,anything,anything,anything,anything
anyway,anyway,anyway,anyway,anyway,anyway
anywhere,anywher,anywhere,anywhere,anywhere,anywhere
apart,apart,apart,apart,apart,apart
apartment,apart,apartment,apartment,apartment,apartment
ape,ape,ape,ape,ape,ape
apiece,apiec,apiece,apiece,apiece,apiece
appear,appear,appear,appear,appear,appear
apple,appl,apple,apple,apple,apple
april,april,april,april,april,april
apron,apron,apron,apron,apron,apron
are,are,are,be,are,are
aren't,aren't,aren't,aren't,aren't,aren't
arise,aris,arise,arise,arise,arise
arithmetic,arithmet,arithmetic,arithmetic,arithmetic,arithmetic
arm,arm,arm,arm,arm,arm
armful,arm,armful,armful,armful,armful
army,armi,army,army,army,army
arose,aros,arose,arise,arose,arose
around,around,around,around,around,around
arrange,arrang,arrange,arrange,arrange,arrange
arrive,arriv,arrive,arrive,arrive,arrive
arrived,arriv,arrived,arrive,arrived,arrived
arrow,arrow,arrow,arrow,arrow,arrow
art,art,art,art,art,art
artist,artist,artist,artist,artist,artist
as,as,a,as,a,a
ash,ash,ash,ash,ash,ash
ashes,ash,ash,ash,ash,ash
aside,asid,aside,aside,aside,aside
ask,ask,ask,ask,ask,ask
asleep,asleep,asleep,asleep,asleep,asleep
at,at,at,at,at,at
ate,ate,ate,eat,ate,ate
attack,attack,attack,attack,attack,attack
attend,attend,attend,attend,attend,attend
attention,attent,attention,attention,attention,attention
august,august,august,august,august,august
aunt,aunt,aunt,aunt,aunt,aunt
author,author,author,author,author,author
auto,auto,auto,auto,auto,auto
automobile,mobil,automobile,automobile,automobile,automobile
