"corpus","preloaded/bnc2_tt21"
"subcorpus","-"
Item,Frequency
"the",6054939
",",5063028
".",4818451
"of",3049448
"and",2624147
"to",2599451
"a",2175967
"in",1945533
"''",1562877
"that",1120750
"it",1054366
"is",991771
"was",883547
"for",880805
"i",872236
"on",731234
"you",668407
"with",659976
"as",655175
"be",651542
"he",641241
"at",524061
"by",513428
"are",465051
"have",461447
"this",454532
"not",452545
"but",446752
"from",425966
"had",421228
"they",420509
"his",410291
")",404196
"(",403454
"?",387129
"or",370088
"which",366198
"she",353257
"we",351135
"an",338811
"''s",338372
"there",319836
"n''t",316954
"were",313768
"her",304308
"one",291985
"-",287939
"all",277700
"do",270735
":",268074
"been",260357
"has",256876
"their",254608
"if",253791
"will",251180
"would",245826
"what",240763
"so",239667
"can",232575
"no",226363
"when",209964
"more",209736
"up",207869
";",204095
"who",201043
"out",197341
"said",195580
"about",192020
"them",167435
"some",167411
"its",160582
"could",160179
"into",157883
"then",154847
"time",154514
"other",154266
"him",153849
"two",153036
"only",148797
"like",147920
"my",146773
"than",144839
"well",142504
"""",140447
"!",139752
"now",139414
"did",135946
"your",134413
"me",131378
"over",130984
"may",127683
"just",126456
"new",124399
"these",123624
"also",123572
"any",122181
"first",120891
"very",119606
"know",119364
"people",116309
"see",115299
"after",114048
"should",109172
"such",107324
"where",105964
"because",100655
"how",99101
"most",98158
"back",97227
"get",96121
"way",95871
"our",93457
"down",92099
"made",91672
"right",90752
"between",90619
"er",90382
"much",89947
"work",89428
"think",88770
"many",88714
"being",87766
"even",87650
"go",87252
"years",87234
"those",87196
"got",86570
"''ve",86172
"before",85108
"yeah",83012
"through",81227
"good",81152
"''re",80801
"us",80217
"three",78558
"make",77411
"last",74817
"...",74390
"/",73063
"still",72017
"£",71633
"must",70165
"take",69645
"''ll",69278
"own",69005
"year",68888
"here",68182
"off",68176
"both",67455
"does",67332
"say",67234
"too",67021
"oh",66810
"come",66700
"used",65979
"going",63563
"erm",63087
"little",62658
"''m",62599
"use",62271
"''d",61709
"same",61183
"under",61062
"1",60792
"each",60451
"however",59742
"might",59479
"another",59178
"day",59109
"yes",58644
"put",57643
"again",57452
"government",56452
"long",55870
"need",55373
"against",55298
"want",55262
"man",55250
"while",54786
"life",54614
"world",53906
"thought",53696
"per",53671
"part",53639
"never",53248
"old",52812
"look",52108
"mr",51370
"2",50717
"home",50607
"something",50097
"house",49245
"course",49067
"since",49009
"number",48920
"why",48678
"end",48508
"away",47952
"place",47923
"different",47621
"found",47227
"great",46646
"really",46477
"local",46058
"went",45874
"within",45725
"four",45457
"case",45209
"left",45177
"next",45052
"came",44825
"without",44811
"always",44433
"set",44238
"system",44102
"though",44039
"give",43986
"during",43535
"around",43396
"few",43368
"small",43156
"mean",42959
"although",42776
"rather",41796
"social",41731
"children",41372
"given",41173
"things",40950
"find",40935
"second",40756
"until",40126
"five",40036
"quite",39901
"group",39870
"far",39602
"point",39512
"says",39366
"every",39155
"important",38721
"less",38624
"later",38433
"public",38391
"cent",38379
"information",38375
"high",38236
"general",38049
"state",37903
"party",37794
"national",37588
"took",37224
"often",37166
"once",36982
"help",36953
"fact",36659
"money",36539
"seen",36382
"school",36162
"example",36062
"company",36025
"head",35814
"further",35808
"british",35529
"men",35513
"whether",35485
"told",35455
"3",35197
"business",35089
"best",34950
"better",34780
"mm",34736
"area",34731
"[",34622
"]",34620
"taken",34587
"done",34318
"large",34277
"having",34253
"order",34250
"water",34203
"form",34202
"night",34123
"yet",33927
"thing",33848
"possible",33668
"perhaps",33582
"early",33496
"hand",33484
"already",33304
"women",33105
"family",33025
"london",32869
"face",32816
"called",32447
"looked",32269
"nothing",32258
"young",32205
"side",32173
"development",32007
"let",31960
"ca",31685
"days",31676
"power",31623
"change",31534
"%",31313
"asked",31274
"enough",31180
"john",31030
"round",30830
"support",30667
"almost",30395
"least",30311
"service",30245
"political",30161
"week",30090
"whole",30032
"together",29954
"six",29893
"become",29753
"market",29737
"able",29729
"open",29593
"half",29524
"times",29218
"council",29202
"members",29028
"himself",29023
"tell",28905
"room",28845
"particular",28800
"control",28758
"working",28701
"4",28657
"problem",28594
"full",28279
"major",28157
"country",28041
"court",27994
"lot",27977
"doing",27863
"anything",27484
"act",27412
"eyes",27383
"others",27347
"towards",27274
"report",27264
"interest",27260
"war",27253
"problems",27187
"either",27180
"making",27113
"5",27091
"police",27088
"held",27053
"available",27026
"sort",26950
"keep",26903
"mind",26883
"research",26702
"following",26682
"road",26609
"ever",26571
"level",26565
"terms",26541
"probably",26536
"bit",26524
"car",26505
"law",26500
"am",26497
"means",26236
"felt",26109
"show",26108
"10",26082
"education",25890
"policy",25814
"top",25719
"question",25702
"000",25534
"c",25523
"actually",25456
"past",25402
"looking",25396
"feel",25376
"name",25293
"labour",25271
"above",25193
"known",25185
"saw",25170
"clear",24985
"main",24976
"view",24975
"big",24908
"present",24854
"services",24810
"office",24682
"$",24528
"health",24440
"using",24433
"million",24422
"care",24408
"body",24242
"book",24210
"period",24145
"across",24054
"including",24003
"knew",23996
"months",23889
"voice",23872
"black",23858
"sure",23753
"line",23671
"words",23663
"kind",23605
"along",23512
"several",23447
"white",23419
"person",23417
"economic",23371
"start",23279
"areas",23246
"itself",23235
"door",23185
"effect",23161
"today",23143
"themselves",23020
"minister",23019
"likely",22998
"turned",22990
"therefore",22985
"english",22943
"south",22936
"b",22932
"subject",22911
"upon",22806
"position",22764
"real",22661
"light",22611
"centre",22608
"community",22547
"began",22497
"society",22484
"process",22473
"staff",22456
"among",22445
"behind",22444
"future",22377
"hard",22253
"love",22237
"job",22202
"read",22201
"provide",22175
"wanted",22175
"seemed",22105
"international",22026
"gave",21978
"result",21940
"action",21881
"special",21870
"study",21849
"certain",21804
"matter",21802
"mother",21802
"became",21778
"pay",21713
"particularly",21690
"city",21660
"taking",21659
"difficult",21624
"management",21620
"run",21577
"age",21482
"england",21476
"sense",21406
"north",21220
"evidence",21173
"child",21134
"outside",21113
"experience",21083
"idea",21078
"play",21053
"west",20947
"front",20930
"land",20864
"try",20851
"close",20788
"seems",20783
"third",20701
"meeting",20611
"free",20550
"cost",20512
"moment",20444
"believe",20435
"training",20412
"turn",20357
"woman",20326
"range",20297
"european",20244
"thus",20229
"god",19988
"britain",19974
"sometimes",19955
"father",19926
"else",19915
"needs",19900
"common",19872
"death",19843
"leave",19823
"shall",19817
"trade",19813
"church",19780
"move",19778
"morning",19772
"soon",19759
"short",19705
"involved",19664
"getting",19661
"ten",19660
"brought",19636
"coming",19544
"late",19522
"6",19461
"century",19413
"table",19392
"whose",19378
"ago",19334
"human",19274
"industry",19257
"groups",19186
"central",19135
"&",19071
"changes",19048
"united",19031
"history",18998
"heard",18993
"rate",18980
"programme",18904
"usually",18865
"lost",18808
"mrs",18806
"call",18788
"street",18756
"section",18725
"word",18720
"food",18692
"hundred",18660
"language",18656
"building",18654
"ask",18640
"based",18509
"gone",18478
"remember",18459
"sir",18439
"air",18421
"indeed",18421
"price",18337
"team",18330
"similar",18299
"committee",18283
"reason",18236
"yesterday",18231
"individual",18211
"hours",18195
"single",18157
"cases",18144
"certainly",18121
"data",18085
"role",17999
"saying",17962
"class",17896
"near",17883
"necessary",17876
"hands",17820
"trying",17796
"value",17758
"true",17757
"authority",17756
"states",17735
"everything",17655
"private",17644
"nature",17617
"s",17583
"companies",17488
"minutes",17463
"total",17438
"20",17390
"especially",17369
"personal",17353
"simply",17289
"east",17286
"return",17282
"type",17258
"someone",17254
"member",17236
"figure",17221
"date",17195
"department",17136
"hope",17129
"systems",17122
"cut",17120
"seven",17115
"eight",17076
"d",17031
"union",17021
"town",16994
"patients",16993
"practice",16991
"deal",16983
"former",16947
"bank",16928
"europe",16926
"provided",16881
"french",16877
"live",16863
"increase",16808
"started",16791
"paper",16742
"cos",16719
"low",16712
"decision",16686
"o",16650
"uk",16541
"financial",16533
"seem",16506
"p.",16489
"makes",16486
"expected",16446
"earlier",16387
"issue",16347
"required",16340
"countries",16338
"tax",16334
"stage",16296
"longer",16227
"talk",16220
"quality",16206
"account",16164
"higher",16150
"american",16089
"foreign",16064
"concerned",16050
"approach",16019
"needed",15951
"herself",15933
"march",15902
"wo",15892
"7",15873
"ground",15809
"university",15784
"strong",15769
"president",15753
"situation",15728
"recent",15690
"comes",15688
"according",15686
"offer",15659
"rest",15624
"friend",15605
"living",15602
"wife",15573
"wrong",15519
"production",15474
"force",15473
"club",15461
"final",15407
"board",15405
"lord",15397
"due",15383
"conditions",15371
"results",15334
"twenty",15318
"1990",15317
"amount",15312
"greater",15299
"various",15295
"art",15258
"12",15235
"schools",15234
"costs",15164
"include",15148
"secretary",15127
"award",15113
"led",15085
"paid",15046
"clearly",15015
"bring",15010
"project",15003
"field",14999
"parents",14976
"bad",14948
"understand",14940
"added",14938
"shown",14880
"record",14811
"weeks",14765
"plan",14761
"mr.",14741
"bed",14740
"hospital",14728
"music",14722
"ways",14685
"forward",14681
"described",14671
"goes",14651
"royal",14646
"april",14631
"decided",14614
"stop",14606
"red",14601
"david",14598
"p",14574
"chapter",14568
"planning",14542
"poor",14525
"june",14506
"30",14482
"friends",14430
"easy",14422
"followed",14395
"game",14388
"knowledge",14372
"agreed",14367
"lead",14366
"basis",14364
"15",14361
"despite",14360
"points",14341
"answer",14300
"tried",14275
"8",14259
"instead",14251
"series",14240
"current",14215
"news",14175
"works",14133
"below",14118
"green",14102
"natural",14076
"questions",14061
"anyone",14038
"allowed",14016
"moved",13929
"month",13880
"students",13876
"sound",13830
"please",13809
"girl",13788
"meet",13730
"structure",13715
"simple",13715
"security",13714
"met",13688
"1989",13638
"kept",13633
"inside",13630
"de",13629
"test",13628
"died",13627
"computer",13617
"running",13592
"fire",13584
"studies",13564
"hair",13527
"alone",13499
"written",13470
"workers",13461
"carried",13458
"nine",13454
"capital",13424
"manager",13404
"share",13363
"feet",13349
"material",13330
"bill",13326
"attention",13315
"considered",13300
"letter",13281
"sent",13270
"success",13247
"heart",13247
"agreement",13230
"story",13225
"hold",13225
"hear",13182
"happened",13165
"model",13157
"movement",13133
"analysis",13122
"1991",13087
"received",13086
"cause",13046
"evening",13017
"legal",12999
"population",12992
"increased",12962
"performance",12958
"modern",12957
"environment",12935
"m",12922
"talking",12920
"fine",12892
"thinking",12887
"books",12873
"design",12855
"rights",12824
"press",12824
"chance",12822
"growth",12800
"whatever",12796
"theory",12785
"produced",12781
"nice",12760
"authorities",12711
"relationship",12684
"dark",12680
"built",12678
"middle",12672
"standard",12646
"sea",12610
"complete",12597
"whom",12596
"finally",12583
"size",12549
"list",12502
"property",12488
"king",12487
"space",12446
"gonna",12440
"11",12439
"parties",12424
"giving",12416
"feeling",12416
"key",12379
"worked",12373
"st",12347
"term",12340
"visit",12330
"continued",12312
"buy",12303
"lower",12275
"throughout",12262
"included",12262
"developed",12213
"stood",12212
"normal",12211
"issues",12181
"recently",12178
"everyone",12173
"behaviour",12156
"worth",12137
"treatment",12126
"son",12114
"prime",12112
"50",12110
"energy",12100
"okay",12099
"serious",12098
"previous",12072
"levels",12058
"nor",12054
"pounds",12048
"scotland",12048
"income",12002
"myself",12002
"scheme",12002
"significant",11990
"stay",11961
"cup",11952
"beginning",11941
"director",11938
"25",11928
"reported",11927
"boy",11914
"doubt",11907
"dead",11902
"july",11887
"contract",11875
"charge",11868
"choice",11866
"response",11854
"wide",11844
"quickly",11843
"pressure",11830
"established",11822
"miss",11820
"mark",11774
"risk",11756
"reached",11747
"direct",11736
"9",11723
"thank",11719
"e",11710
"r",11701
"defence",11689
"technology",11683
"cold",11674
"takes",11666
"couple",11653
"anyway",11653
"continue",11643
"details",11630
"won",11614
"forces",11614
"consider",11589
"hall",11589
"shows",11574
"france",11552
"plans",11551
"rates",11546
"loss",11529
"ones",11517
"forms",11502
"parts",11500
"produce",11483
"activities",11480
"association",11477
"generally",11459
"industrial",11455
"spent",11452
"wish",11449
"appropriate",11439
"activity",11434
"writing",11425
"peter",11393
"beyond",11369
"colour",11363
"wall",11358
"soviet",11347
"happy",11347
"figures",11291
"military",11284
"allow",11276
"original",11263
"looks",11249
"specific",11244
"chairman",11238
"attempt",11238
"park",11225
"claim",11184
"leading",11180
"nearly",11179
"difference",11177
"numbers",11165
"chief",11148
"changed",11138
"relations",11135
"potential",11123
"sat",11111
"reports",11050
"firm",11050
"product",11040
"v",11038
"suddenly",11016
"appeal",11000
"played",10999
"dr",10997
"basic",10993
"county",10987
"village",10968
"professional",10953
"cover",10949
"hotel",10926
"floor",10919
"demand",10917
"fall",10899
"opened",10889
"ideas",10886
"german",10880
"army",10870
"investment",10858
"unless",10845
"northern",10833
"access",10825
"meant",10818
"suggested",10802
"rules",10799
"benefit",10796
"garden",10784
"sorry",10777
"unit",10764
"effects",10761
"independent",10761
"male",10753
"appear",10752
"t",10750
"summer",10747
"reasons",10731
"stand",10722
"page",10709
"successful",10707
"reading",10692
"write",10681
"fish",10667
"contact",10666
"obviously",10665
"hour",10665
"published",10662
"picture",10644
"1992",10638
"teachers",10626
"employment",10625
"playing",10577
