"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
Item,Frequency
"the",2180184828
",",1931950605
".",1734956567
"and",1099770995
"of",1066888596
"to",978106091
"a",808023795
"in",723684162
"is",428536637
"""",388025314
"for",381215827
"that",371233979
"it",284654234
"with",282999141
"on",280411737
"i",251214266
")",250961172
"as",246758666
"(",246261491
"was",214380076
"you",203909477
"are",200151008
"this",199009396
"be",196464347
"by",183669008
":",179881563
"at",178746595
"from",173725845
"or",157963168
"have",151974703
"not",141215800
"an",136964390
"he",134757848
"we",125074879
"but",123346162
"they",113309850
"will",111834957
"his",109230647
"has",104771553
"can",103876683
"all",96946760
"their",94295179
"which",92441096
"one",91063513
"your",87489801
"more",86219802
"if",82481967
"''",77988154
"n''t",76693596
"there",76581203
"''s",76398465
"were",73869505
"?",73566664
"do",73002929
";",72704362
"so",72425894
"about",72353555
"when",70713478
"had",70545370
"also",70097523
"who",69931064
"-",67323274
"my",67144725
"new",66117276
"what",63293983
"been",62997321
"would",62680519
"our",62629399
"up",62211860
"–",61076500
"out",61068375
"other",59995454
"her",59004106
"time",58071539
"some",57573873
"its",56285982
"/",55018844
"she",53104788
"into",51709123
"no",50629225
"...",50541365
"like",50422280
"!",49179645
"first",49024945
"them",48983004
"these",48445982
"than",47161715
"may",46651804
"just",46643664
"only",46224956
"people",44564724
"after",44102633
"how",43988137
"two",42452865
"said",41618292
"over",41532085
"any",41420398
"then",39925880
"most",39259829
"me",37992411
"now",37837028
"many",37166955
"could",36498571
"get",36308102
"[",36228098
"]",36041560
"well",35793550
"such",35686707
"work",35439511
"very",34871415
"use",34764947
"through",34700396
"years",34297400
"us",34239822
"where",33915225
"1",33644979
"him",32983025
"see",32882793
"make",32284072
"even",31807943
"because",31567587
"should",31282666
"did",31260606
"being",30379181
"2",29950986
"while",29894048
"way",29750625
"good",29007631
"those",29006200
"year",28302050
"before",28264782
"back",28021512
"used",27353484
"here",27195077
"&",27118821
"much",27103231
"made",26981111
"world",26409567
"between",26245637
"does",26188980
"each",25998292
"both",25559933
"know",25107001
"day",24954411
"$",24853079
"need",24810499
"information",24716705
"during",23986916
"take",23461420
"last",22835523
"state",22793134
"3",22741639
"same",22615908
"part",22543278
"still",22465437
"life",22324987
"great",22282466
"system",22033321
"right",21718815
"%",21525566
"down",21441866
"think",21241129
"around",21097207
"data",20980163
"go",20952318
"three",20913270
"under",20880279
"help",20878463
"since",20383622
"another",20203500
"own",20195212
"best",20103533
"including",19839133
"off",19769833
"home",19519029
"using",19414722
"high",18904120
"want",18760332
"however",18747686
"different",18706749
"school",18705165
"number",18632253
"place",18366946
"too",18334658
"must",18334178
"''re",18288745
"business",18198591
"find",18076629
"long",18051458
"really",18024876
"every",17828126
"against",17819510
"support",17740348
"research",17623076
"set",17559179
"4",17410391
"public",17385012
"health",17146798
"without",17064442
"going",17047740
"5",17011371
"little",16850851
"found",16823896
"service",16692746
"''m",16680548
"group",16477106
"end",16426784
"few",16418357
"city",16412781
"university",16181607
"''ve",16172710
"10",16067472
"water",15964144
"am",15961112
"within",15948047
"national",15895891
"second",15720019
"next",15565819
"come",15513239
"government",15495817
"area",15343610
"family",15293753
"never",15122264
"services",15112411
"team",15104033
"available",15100334
"things",15088304
"company",15047792
"students",15038278
"why",15032169
"look",15026672
"program",14924190
"better",14874306
"say",14872853
"game",14682289
"again",14634875
"development",14583617
"local",14580808
"something",14499678
"small",14494057
"might",14384005
"power",14378785
"case",14063107
"community",13903655
"always",13695335
"order",13541828
"point",13541025
"name",13527099
"old",13491922
"times",13472797
"show",13410631
"experience",13340006
"free",13331496
"change",13292060
"book",13274065
"house",13189733
"until",13172461
"having",13101565
"process",13098713
"''ll",13093755
"love",13083828
"working",13083746
"provide",13078797
"important",13071005
"left",12973873
"read",12961809
"project",12925594
"based",12860331
"children",12856284
"though",12754238
"several",12741274
"got",12710936
"following",12694221
"course",12644987
"man",12627439
"states",12618939
"called",12589243
"once",12546708
"days",12531014
"example",12366597
"control",12240683
"open",12207294
"6",12205341
"put",12181436
"often",12177501
"give",12168054
"international",12153503
"large",12134810
"later",12129187
"*",12112286
"top",12060623
"away",12048761
"social",12032125
"full",12012228
"care",12007944
"--",12003854
"able",11936727
"says",11919637
"include",11787211
"making",11764799
"early",11758852
"american",11746971
"general",11694169
"law",11653554
"four",11643932
"market",11590957
"history",11587586
"less",11500601
"members",11499582
"level",11437398
"line",11422124
"big",11384296
"today",11382429
"lot",11356029
"along",11212105
"form",11191942
"keep",11153503
"given",11132001
"known",11109732
"war",10935702
"side",10888050
"music",10875541
"human",10868223
"others",10864821
"management",10851023
"god",10769451
"country",10764783
"become",10750558
"across",10707073
"together",10668717
"sure",10606883
"study",10593123
"means",10591062
"start",10577120
"design",10559877
"play",10554975
"least",10551114
"site",10540774
"education",10509036
"united",10508861
"week",10481947
"yet",10462279
"report",10453309
"far",10441677
"real",10437611
"came",10421043
"food",10410542
"possible",10401738
"per",10380642
"south",10337188
"already",10297999
"let",10254486
"7",10171928
"enough",10149339
"further",10126765
"women",10123682
"center",10096087
"thing",10073760
"took",10035278
"according",10025559
"access",10012724
"looking",10004384
"current",10001023
"money",9986422
"done",9957849
"body",9918182
"north",9895791
"fact",9876142
"8",9872626
"20",9857865
"head",9830378
"whether",9815197
"future",9810445
"energy",9781918
"building",9749948
"among",9707819
"office",9704285
"series",9693023
"story",9684743
"light",9664334
"due",9660619
"john",9598603
"president",9546448
"online",9502391
"u.s.",9465733
"young",9463112
"ever",9451643
"court",9444535
"call",9441853
"person",9432852
"''d",9432225
"million",9410361
"technology",9378543
"major",9368841
"please",9366913
"ca",9365096
"live",9360254
"although",9351032
"run",9319843
"above",9315923
"went",9277066
"past",9275901
"quality",9239457
"feel",9226256
"seen",9210790
"^",9200549
"12",9186728
"news",9181561
"page",9161639
"needs",9108656
"special",9076066
"plan",9039476
"white",9029553
"thought",9010717
"either",8970108
"rather",8967354
"problem",8898749
"actually",8894235
"systems",8869984
"space",8860791
"night",8851101
"black",8842892
"list",8839736
"makes",8837424
"upon",8812771
"five",8803752
"original",8803484
"hand",8752148
"=",8746712
"main",8693434
"training",8692315
"|",8679187
"room",8677947
"view",8660673
"issues",8659915
"art",8635602
"film",8633632
"doing",8585834
"value",8579320
"type",8567791
"season",8546202
"present",8518096
"air",8514513
"media",8512742
"men",8510295
"event",8496060
"church",8455560
"create",8455552
"getting",8452301
"industry",8432798
"member",8431211
"15",8357785
"hard",8355236
"department",8353021
"areas",8352699
"field",8331972
"security",8291879
"range",8278161
"30",8277599
"various",8265426
"act",8260197
"results",8254003
"board",8239346
"party",8216877
"key",8203386
"almost",8200820
"works",8181525
"road",8143070
"action",8142784
"started",8123769
"county",8113582
"taken",8108735
"job",8107645
"march",8057817
"video",8052987
"class",8010193
"months",7986428
"college",7961531
"told",7948712
"products",7912445
"single",7908393
"policy",7906011
"try",7885739
"held",7880251
"performance",7836431
"email",7818630
"age",7796234
"science",7776325
"whole",7771101
"issue",7765552
"political",7750191
"c",7725745
"required",7721890
"june",7686401
"especially",7678026
"short",7657160
"9",7645795
"section",7637478
"taking",7637103
"position",7632894
"question",7629175
"hours",7623444
"west",7623267
"result",7617965
"common",7609862
"below",7588663
"comes",7587759
"york",7586394
"bit",7582194
"global",7575591
"role",7555835
"nothing",7544635
"model",7536715
"b",7506564
"death",7503061
"close",7501361
"believe",7493489
"period",7488490
"post",7486198
"land",7465549
"face",7448383
"quite",7442256
"includes",7437065
"review",7414989
"became",7403152
"offer",7392129
"car",7374972
"personal",7373533
"provided",7355108
"staff",7353355
"director",7318268
"provides",7300401
"kind",7297279
"application",7290743
"11",7284634
"s",7280948
"companies",7274477
"society",7271207
"probably",7268963
"medical",7267676
"contact",7244618
"anything",7238488
"instead",7231983
"living",7215920
"july",7189017
"received",7168558
"near",7142921
"games",7130833
"third",7129887
"mind",7123508
"easy",7116909
"words",7115893
"source",7101186
"low",7098229
"cost",7096678
"park",7093873
"network",7086669
"events",7079279
"april",7079042
"product",7075650
"street",7069826
"everything",7058298
"note",7049394
"changes",7045244
"financial",7043694
"true",7016634
"added",7014070
"move",6999198
"front",6990982
"problems",6990504
"+",6979470
"lead",6976277
"production",6955852
"idea",6950728
"october",6944737
"final",6936936
"article",6936219
"september",6935503
"interest",6932484
"features",6922985
"recent",6920152
"similar",6879533
"website",6866182
"points",6859999
"test",6857446
"version",6845764
"total",6844581
"ago",6836828
"police",6824524
"someone",6817688
"natural",6812261
"clear",6810431
"complete",6791304
"half",6778667
"seems",6758023
"former",6757208
"likely",6755017
"continue",6752879
"software",6750160
"child",6748509
"learning",6747385
"red",6747266
"100",6742448
"rights",6737486
"town",6702741
"percent",6697399
"needed",6693936
"share",6693601
"meeting",6669467
"pay",6666682
"higher",6666092
"private",6652543
"understand",6649908
"learn",6625035
"student",6622331
"strong",6619136
"asked",6611196
"behind",6599101
"price",6594185
"november",6587301
"risk",6562490
"file",6560109
"tell",6559531
"practice",6539608
"date",6534787
"turn",6527635
"shows",6526333
"certain",6515673
"addition",6513976
"east",6498304
"code",6493628
"increase",6491143
"economic",6489178
"included",6480291
"outside",6469704
"knowledge",6461043
"property",6451902
"questions",6445112
"began",6442915
"friends",6440223
"related",6435740
"resources",6430105
"january",6425201
"add",6400532
"created",6398782
"groups",6397692
"coming",6396298
"hope",6388510
"late",6385865
"council",6374362
"himself",6363098
"image",6353224
"matter",6348099
"2019",6345887
"word",6341811
"reason",6337386
"language",6335788
"record",6317401
"december",6316022
"trying",6309222
"analysis",6306422
"six",6297210
"return",6270422
"itself",6268616
"currently",6267727
"specific",6254843
"everyone",6254525
"particular",6250458
"bring",6240601
"heart",6239747
"web",6229568
"visit",6228407
"august",6224940
"content",6219020
"individual",6216959
"paper",6215048
"simply",6213086
"mr.",6206993
"central",6205492
"check",6203905
"growth",6200480
"additional",6194028
"countries",6190155
"search",6172946
"published",6167266
"written",6165071
"25",6161330
"standard",6147300
"programs",6145538
"professional",6142869
"size",6139685
"month",6133580
"bad",6124857
"studies",6117830
"thus",6099820
"lost",6097760
"activities",6095031
"usually",6083539
"treatment",6079483
"soon",6077790
"rate",6070541
"themselves",6068178
"potential",6065491
"writing",6054806
"built",6051605
"led",6045251
"saw",6042379
"located",6039209
"14",6023949
"environment",6003002
"cases",6002938
"press",5999911
"minutes",5990336
"fire",5983770
"throughout",5978815
"mean",5973544
"50",5973023
"simple",5972711
"oil",5951467
"force",5949370
"ways",5941337
"anyone",5933815
"designed",5922437
"green",5914996
"evidence",5911496
"thanks",5903385
"de",5902630
"2018",5891555
"user",5884240
"english",5880799
"sometimes",5876286
"meet",5875617
"amount",5875353
"running",5870808
"16",5863491
"2012",5860706
"sense",5844914
"stop",5826492
"address",5816069
"recently",5814107
"terms",5798762
"cause",5793865
"books",5790732
"approach",5784239
"allow",5773401
"18",5767863
"sound",5767055
"committee",5767004
"wanted",5753235
"2015",5740479
"safety",5738843
"nature",5734514
"2016",5723631
"focus",5720792
"offers",5716613
"club",5708029
"yes",5705559
"13",5705052
"reading",5704032
"worked",5702661
"via",5692470
"river",5689286
"#",5685971
"impact",5679415
"federal",5666362
"conditions",5664823
"patients",5656760
"effect",5654354
"2017",5649662
"account",5637323
"lower",5635702
"2013",5633042
"talk",5631128
"2014",5628775
"projects",5624275
"london",5621503
"born",5621320
"involved",5618861
"details",5612223
"deal",5610776
"america",5609872
"takes",5605662
"2010",5602761
"longer",5602583
"computer",5594487
"response",5589418
"district",5584931
"uk",5581082
"2011",5576586
"material",5569291
"subject",5564936
"step",5547613
"region",5545400
"build",5519228
"..",5519012
"perhaps",5516179
"leave",5513263
"opportunity",5503675
"therefore",5495274
"significant",5489177
"finally",5486761
"etc.",5481207
"tax",5473214
"table",5468163
"military",5463842
"forward",5460484
"maybe",5453034
"inside",5437797
"digital",5436449
"levels",5416601
"shall",5415170
"location",5410797
"century",5409923
"pretty",5400002
"ask",5393987
"dr.",5388163
"father",5386783
"release",5386285
"d",5379437
"modern",5379263
"drive",5369248
"summer",5369195
"played",5357973
"conference",5355654
"parts",5330762
"legal",5322282
"ground",5317957
"•",5312960
"skills",5311789
"developed",5307196
"british",5304856
"february",5295570
"trade",5293756
"association",5287967
"internet",5275827
"title",5266588
"decision",5265720
"else",5264402
"considered",5251844
"rest",5239134
"son",5208746
"career",5206726
"bank",5199618
"necessary",5179559
"leading",5176762
"lives",5175079
"towards",5168412
"gave",5157013
"players",5151738
"bill",5143159
"ability",5137658
"schools",5134814
"000",5130706
"limited",5127992
"weeks",5114649
"popular",5105016
"released",5101009
"eyes",5099707
"unit",5099186
"remember",5096795
"method",5078603
"ensure",5061322
"device",5052180
"collection",5036269
"24",5008128
"text",5006679
"cover",4994493
"term",4990052
"playing",4988289
"population",4962252
">",4949784
"shown",4939649
"difficult",4938501
"china",4936856
"physical",4934077
"2008",4923436
"success",4922396
"2009",4915010
"player",4910266
"x",4908280
"station",4908066
"base",4889414
"win",4888756
"users",4879995
"entire",4867733
"centre",4866045
"despite",4851654
"fall",4840797
"middle",4840417
"0",4836772
"planning",4836183
"culture",4835972
"stay",4824452
"previous",4821261
"effective",4820577
"brought",4811487
"link",4806259
"£",4801826
"sent",4801730
"understanding",4796624
"plans",4795520
"consider",4794182
"morning",4791611
"17",4788987
"woman",4786891
"fun",4781054
"cut",4776245
"....",4774630
"reported",4766624
"unique",4761128
"hold",4761056
"average",4758261
"stage",4756941
"phone",4755683
"looks",4739646
"sales",4736799
"multiple",4735008
"associated",4732614
"whose",4731329
"style",4725989
"king",4720476
"perfect",4713035
"providing",4708838
"annual",4706360
"figure",4704768
"david",4696756
"receive",4693187
"parents",4690014
"particularly",4686762
"costs",4681711
"applications",4681266
"character",4678004
"develop",4677015
"goes",4676891
"organization",4665137
"european",4660255
"expected",4650816
"buy",4645614
"mother",4644259
"construction",4643347
"nice",4639585
"travel",4629197
"reports",4627456
"daily",4625951
"quickly",4625013
"beyond",4618173
"couple",4616268
"heard",4600244
"attention",4598283
"interesting",4591006
"customers",4590042
"beautiful",4585546
"movement",4584415
"island",4582290
"india",4582095
"award",4579176
"track",4573057
"won",4572820
"follow",4572377
"hit",4569412
"options",4563922
"wide",4562662
"saying",4551882
"earth",4534509
"effects",4532641
"blood",4529071
"wrote",4509666
"benefits",4497489
"activity",4496137
"library",4491655
"earlier",4490331
"turned",4490132
"established",4482068
"credit",4481140
"moved",4480578
"felt",4479157
"function",4478567
"fine",4475965
"seem",4473754
"increased",4472699
"types",4467503
"card",4460331
"blue",4459315
"materials",4448118
"named",4442684
"died",4439796
"relationship",4436128
"directly",4433815
"equipment",4426035
"enjoy",4422096
"requirements",4416354
"race",4411815
"species",4411508
"manager",4411391
"situation",4406075
"mark",4402766
"hands",4401349
"greater",4399093
"rules",4388970
"improve",4382695
